landmark_id,x,y,z,visible,vertex_index,confidence
0,-1.132272720336914,0.5030754804611206,-0.8083578944206238,0,16743,0.0
1,-1.0923938751220703,0.36814332008361816,-0.8628662824630737,0,16876,0.0
2,-1.0621551275253296,0.23054341971874237,-0.8893585205078125,0,16885,0.0
3,-1.0423022508621216,0.09925176203250885,-0.8748851418495178,0,16893,0.0
4,-1.0218844413757324,-0.022824034094810486,-0.8807554244995117,0,16652,0.0
5,-1.0102821588516235,-0.1408357173204422,-0.8712422847747803,0,16279,0.0
6,-0.9831282496452332,-0.289368212223053,-0.84341961145401,0,16262,0.0
7,-0.9656854271888733,-0.443991094827652,-0.7972983121871948,0,16304,0.0
8,-0.9481955766677856,-0.5880151391029358,-0.7512327432632446,0,32151,0.0
9,-0.9150527715682983,-0.725860059261322,-0.6572652459144592,0,32511,0.0
10,-0.8569357395172119,-0.845690906047821,-0.5666221976280212,0,32829,0.0
11,-0.754362165927887,-0.9506490230560303,-0.38976046442985535,0,33141,0.0
12,-0.6092042326927185,-1.0464898347854614,-0.22450490295886993,0,33400,0.0
13,-0.47404745221138,-1.1358575820922852,-0.05200999230146408,0,33586,0.0
14,-0.3499457836151123,-1.2174626588821411,0.0839516744017601,0,33704,0.0
15,-0.1897217482328415,-1.2673990726470947,0.11791150271892548,1,33794,1.0
16,-0.10022074729204178,-1.2716938257217407,0.1534624695777893,1,33838,1.0
17,-0.016874374821782112,-1.2783534526824951,0.11653020977973938,1,33884,1.0
18,0.15067479014396667,-1.2368998527526855,0.09999844431877136,1,33973,1.0
19,0.26599541306495667,-1.171201229095459,-0.08597669005393982,1,34097,1.0
20,0.40716931223869324,-1.0758132934570312,-0.2386353462934494,1,34290,1.0
21,0.5515524744987488,-0.9874081611633301,-0.4211369752883911,1,34561,1.0
22,0.6606408953666687,-0.8900095820426941,-0.579481840133667,1,34879,1.0
23,0.7468836307525635,-0.7909227013587952,-0.6884894967079163,1,35202,1.0
24,0.8091804385185242,-0.654268741607666,-0.7727991342544556,1,35613,1.0
25,0.8461995124816895,-0.5148080587387085,-0.8234681487083435,1,27801,1.0
26,0.8791969418525696,-0.3621961176395416,-0.8745895028114319,1,27813,1.0
27,0.9248002171516418,-0.21120081841945648,-0.9013283252716064,1,27709,1.0
28,0.9628087878227234,-0.08676718920469284,-0.9296783804893494,0,27447,0.0
29,1.0110406875610352,0.04048668220639229,-0.8905757069587708,1,27083,1.0
30,1.0372726917266846,0.16872988641262054,-0.8952914476394653,1,27075,1.0
31,1.082417607307434,0.29672127962112427,-0.8926470279693604,1,27196,1.0
32,1.125514268875122,0.43598464131355286,-0.8419812917709351,1,27314,1.0
33,-0.8041169047355652,0.6345495581626892,0.14275501668453217,0,28111,0.0
34,-0.6673803329467773,0.7937896847724915,0.28512969613075256,0,28787,0.0
35,-0.48351094126701355,0.820350706577301,0.4124702215194702,1,29177,1.0
36,-0.3292447030544281,0.7756121158599854,0.4953603446483612,1,29382,1.0
37,-0.21455681324005127,0.7033823132514954,0.5329619646072388,1,29549,1.0
38,-0.22838763892650604,0.6356567740440369,0.497524619102478,1,29526,1.0
39,-0.362291157245636,0.634352445602417,0.44975677132606506,1,5547,1.0
40,-0.5226336121559143,0.6851193308830261,0.42550647258758545,1,4515,1.0
41,-0.6901064515113831,0.6912000179290771,0.3241349756717682,0,2967,0.0
42,0.296583354473114,0.6930614113807678,0.5363456010818481,1,30288,1.0
43,0.4336141347885132,0.7618085145950317,0.49976685643196106,1,30454,1.0
44,0.6096931099891663,0.7843976020812988,0.41547560691833496,1,30662,1.0
45,0.7975702285766602,0.7409563660621643,0.28700047731399536,1,31056,1.0
46,0.9147390723228455,0.5725276470184326,0.11891712248325348,1,31716,1.0
47,0.7849814295768738,0.6357446908950806,0.3249039053916931,1,13141,1.0
48,0.6050002574920654,0.6353887915611267,0.4341231882572174,1,11593,1.0
49,0.4532473087310791,0.6230393052101135,0.4616253972053528,1,30488,1.0
50,0.31387415528297424,0.6318714618682861,0.5109858512878418,1,30318,1.0
51,0.0435778871178627,0.3817538321018219,0.5759103894233704,1,8161,1.0
52,0.03586665168404579,0.22907833755016327,0.6724393963813782,1,8174,1.0
