landmark_id,x,y,z
0,-0.36696035,0.42109066,-0.49142453
1,-0.39413288,0.40274560,-0.44059107
2,-0.40656313,0.39729342,-0.40364519
3,-0.41267318,0.39353392,-0.36023703
4,-0.41110042,0.39228940,-0.32843050
5,-0.40424174,0.38705575,-0.29705301
6,-0.38750097,0.37925318,-0.24941659
7,-0.37380213,0.38878107,-0.22374193
8,-0.36282551,0.38949803,-0.20036811
9,-0.32363915,0.39839447,-0.17837483
10,-0.30282706,0.40785444,-0.16210651
11,-0.37432328,0.42974308,-0.52532321
12,-0.40260705,0.46665639,-0.47088733
13,-0.42514849,0.49863678,-0.43073651
14,-0.43712798,0.51878822,-0.39150491
15,-0.44685879,0.54094398,-0.35271719
16,-0.44796059,0.54745144,-0.32574448
17,-0.44015917,0.54401726,-0.28735164
18,-0.42661402,0.53751791,-0.25290170
19,-0.40459663,0.51672202,-0.23483682
20,-0.36970636,0.48353302,-0.21001193
21,-0.34344929,0.45716658,-0.18197474
22,0.06241624,0.41901007,0.62030530
23,-0.00889411,0.39980099,0.59754092
24,-0.05259520,0.38556659,0.56586057
25,-0.08629555,0.37876269,0.53353053
26,-0.10510806,0.37081671,0.50908792
27,-0.12392427,0.37488973,0.47984707
28,-0.13967583,0.37765154,0.44811609
29,-0.14574079,0.37772393,0.40137485
30,-0.15826184,0.38411963,0.37591425
31,-0.15973623,0.38961378,0.34134382
32,-0.15781784,0.39844495,0.31301498
33,0.05840309,0.42203906,0.66753483
34,-0.00611596,0.46230823,0.62589574
35,-0.05548897,0.49458733,0.59468865
36,-0.09587046,0.51480842,0.56595021
37,-0.12138259,0.52573293,0.53927952
38,-0.14183749,0.53712845,0.50725222
39,-0.15179071,0.53320533,0.47411305
40,-0.15618077,0.52842158,0.43827224
41,-0.15780157,0.50468260,0.40021506
42,-0.15769146,0.47737306,0.37429291
43,-0.15931496,0.43764180,0.33915812
44,-0.37272093,0.55710268,-0.71877003
45,-0.42571574,0.63335216,-0.63005173
46,-0.46120977,0.69595659,-0.52476078
47,-0.49966243,0.71952188,-0.38208273
48,-0.52072918,0.70650148,-0.26396698
49,-0.52268183,0.65976745,-0.14225641
50,-0.50398004,0.61252356,-0.04975444
51,-0.46290371,0.58630484,-0.61329120
52,-0.52272582,0.62365836,-0.50784576
53,-0.54803467,0.60175765,-0.38594717
54,-0.52661222,0.58782017,-0.26176432
55,-0.48570168,0.56934929,-0.16424465
56,-0.45260265,0.55616289,-0.05344375
57,0.23094858,0.56175828,0.82724196
58,0.12825556,0.62474877,0.80232108
59,0.01402541,0.68953741,0.74404544
60,-0.10412395,0.72539449,0.65675622
61,-0.22514518,0.70777982,0.56283307
62,-0.30792055,0.66507334,0.45711064
63,-0.36229840,0.62938231,0.36379012
64,0.06725462,0.57054108,0.80049175
65,-0.05056752,0.60647726,0.75318509
66,-0.16717152,0.61081004,0.66653204
67,-0.23441455,0.58635390,0.55338585
68,-0.27505690,0.56978917,0.44490719
69,-0.32596198,0.54810894,0.33828193
70,-0.41768673,-0.60900986,-0.26686117
71,-0.43886581,-0.57956153,-0.22631726
72,-0.47026065,-0.55619735,-0.16286486
73,-0.50054765,-0.52777457,-0.09791359
74,-0.51674640,-0.50511259,-0.04928274
75,-0.52643526,-0.47888991,-0.00010735
76,-0.53290212,-0.45310825,0.05975535
77,-0.53453898,-0.43700412,0.12635127
78,-0.51544899,-0.44907767,0.19914186
79,-0.47744688,-0.43124974,0.26951239
80,-0.44044840,-0.43781912,0.31659600
81,-0.39332563,-0.46050924,0.35255200
82,-0.34426400,-0.48547998,0.37634671
83,-0.29750365,-0.50570118,0.39893764
84,-0.22918428,-0.52978867,0.42636031
85,-0.18101232,-0.54295003,0.45261061
86,-0.14574187,-0.57182896,0.44910768
87,-0.41376603,-0.60015404,-0.23274761
88,-0.43411025,-0.58832276,-0.19331081
89,-0.45890155,-0.56941569,-0.12550010
90,-0.47454336,-0.56078243,-0.06820767
91,-0.47837302,-0.55339986,-0.01871282
92,-0.47846612,-0.55242705,0.02771439
93,-0.47345987,-0.54841828,0.07561003
94,-0.46207002,-0.54554194,0.12066159
95,-0.44407496,-0.53947657,0.16243994
96,-0.42670956,-0.54058802,0.20724003
97,-0.40316391,-0.54017293,0.24783038
98,-0.37012789,-0.53599721,0.28379375
99,-0.33596328,-0.53726798,0.31789434
100,-0.29127920,-0.53780341,0.35288000
101,-0.23726964,-0.54018277,0.38911453
102,-0.18837284,-0.54884470,0.41998497
103,-0.15866934,-0.56190223,0.43311098
104,-0.41565618,-0.60693872,-0.22576474
105,-0.42191166,-0.60485941,-0.19229294
106,-0.43702397,-0.59798652,-0.14524868
107,-0.44789231,-0.58568639,-0.10209945
108,-0.46255755,-0.57748562,-0.03606613
109,-0.46672213,-0.57631600,0.02203770
110,-0.46287310,-0.57346195,0.08287846
111,-0.44605657,-0.56868768,0.15050977
112,-0.41477078,-0.56397390,0.20212564
113,-0.38103381,-0.55851233,0.25541288
114,-0.33605209,-0.55800796,0.30173242
115,-0.27340129,-0.56178010,0.34732276
116,-0.23164102,-0.56703323,0.37713775
117,-0.18730804,-0.56479877,0.40597841
118,-0.16431645,-0.56602740,0.42729110
119,-0.42026845,-0.61884338,-0.23295918
120,-0.43778270,-0.62302566,-0.19033231
121,-0.46852463,-0.62962556,-0.13377304
122,-0.49644658,-0.64776433,-0.07846671
123,-0.51043379,-0.66775519,-0.02325888
124,-0.51719993,-0.67206597,0.04250489
