landmark_id,x_px,y_px,visible,vertex_index
0,652.2180786132812,484.0933837890625,0,2476
1,674.037841796875,485.4041442871094,0,3124
2,686.6436157226562,485.5038757324219,1,3513
3,700.1856689453125,485.823486328125,1,3900
4,709.4979858398438,485.8200378417969,1,4158
5,717.2072143554688,485.6483459472656,1,4417
6,729.3412475585938,486.13653564453125,1,4805
7,736.569580078125,483.8196105957031,0,5062
8,743.3294677734375,483.5644226074219,0,5320
9,748.2669067382812,483.5995788574219,0,5704
10,751.6840209960938,481.19158935546875,0,6216
11,634.9091796875,485.7428894042969,1,1955
12,660.7423706054688,475.5821838378906,1,2985
13,676.65576171875,463.8708190917969,1,3499
14,691.2444458007812,457.1590881347656,1,3886
15,703.29541015625,448.2580871582031,1,4272
16,711.1325073242188,445.6669006347656,1,4530
17,721.0236206054688,446.0413513183594,1,4918
18,728.82080078125,446.36474609375,1,5306
19,732.0618286132812,454.00067138671875,1,5437
20,737.8735961914062,464.755615234375,0,5568
21,744.611328125,471.0924987792969,0,5826
22,919.5186767578125,476.9189147949219,1,14197
23,921.504638671875,481.40997314453125,1,13298
24,916.525634765625,483.84332275390625,0,12784
25,912.6858520507812,484.2369079589844,0,12397
26,909.2724609375,484.8104248046875,0,12140
27,902.8535766601562,483.1573181152344,1,11881
28,895.2363891601562,482.2109680175781,1,11623
29,881.8370971679688,482.2740783691406,1,11237
30,875.62158203125,480.0451354980469,1,10978
31,868.0972900390625,478.7708435058594,0,10588
32,862.2858276367188,472.1534118652344,0,10202
33,932.4515991210938,477.4804382324219,1,14192
34,927.5095825195312,468.3011169433594,1,13287
35,924.31494140625,461.2955017089844,1,12770
36,921.7932739257812,454.4539794921875,1,12383
37,919.7294921875,451.07574462890625,1,12125
38,919.8301391601562,446.21417236328125,0,11737
39,915.382568359375,446.58984375,0,11480
40,909.506591796875,446.27294921875,0,11094
41,898.977783203125,451.8750915527344,0,10838
42,889.7924194335938,458.6595764160156,0,10710
43,876.94775390625,467.2261047363281,1,10453
44,569.889892578125,452.1584777832031,1,28114
45,603.2666015625,420.67901611328125,1,28536
46,642.741943359375,395.27178955078125,1,28821
47,693.6721801757812,383.5130920410156,1,29084
48,734.2460327148438,385.9103088378906,1,29267
49,774.4523315429688,397.2282409667969,1,29411
50,800.3851318359375,412.5804443359375,1,29550
51,611.4158935546875,433.4585266113281,1,2322
52,650.6370239257812,409.65826416015625,1,3355
53,695.6595458984375,413.8089294433594,1,4259
54,739.2551879882812,418.90338134765625,1,5161
55,764.9885864257812,426.28466796875,1,5806
56,794.8800048828125,429.43206787109375,1,6441
57,952.0875854492188,444.101806640625,0,31796
58,959.4506225585938,422.2422180175781,0,31376
59,952.8384399414062,393.88165283203125,0,31055
60,943.4930419921875,383.0404968261719,1,30787
61,937.8801879882812,393.0381774902344,1,30571
62,921.16162109375,406.58905029296875,1,30427
63,901.175537109375,413.30059814453125,1,30288
64,966.520263671875,435.0496520996094,0,14044
65,970.3624267578125,415.404052734375,0,13013
66,962.7783203125,414.0674133300781,1,11981
67,939.9562377929688,426.7821350097656,1,11078
