stem,filename,date,brow_span_3d,brow_height_asym,eye_anchor_spacing_3d,eye_level_asym,brow_eye_left_3d,brow_eye_right_3d,brow_eye_asym,nose_ridge_length_3d,nose_base_width_3d,nose_axis_bend_3d,nose_base_asym,nose_projection_3d,midface_ratio,mouth_width_3d,mouth_height_3d,mouth_nose_offset,central_depth_contrast,geometry_anomaly_score,features_over_2_5mad,top_changed_features
2001_11_01__431490e159af,2001_11_01__431490e159af.png,2001-11-01,1.275472740394396,0.010392773784931308,1.310428377972919,0.013813418154323909,0.33537290636156897,0.3400061790930979,0.004633272731528915,0.8667951325488329,0.6006987171257374,0.02485713130183044,0.04551499118651112,0.5459176664502466,0.8478829217319088,1.5416923308527544,0.5500484034219332,0.07245007275213512,0.9294856536601696,5.239136413247677,8,nose_base_asym; mouth_height_3d; nose_axis_bend_3d; mouth_width_3d; mouth_nose_offset
2003_10_16__faa3a4aaff20,2003_10_16__faa3a4aaff20.png,2003-10-16,1.3549183043568733,0.02341126977651231,1.3507180507369894,0.03976311024925938,0.3498912474498931,0.3682046173306255,0.0183133698807324,0.8951502219244708,0.6038193723294913,0.030544608238057158,0.04305431911218814,0.5216143220827858,0.8619450049956331,1.3197934015283828,0.34331919420331614,0.029204052746733666,0.8937631189859182,4.565403570042169,6,nose_axis_bend_3d; nose_base_asym; brow_span_3d; midface_ratio; nose_base_width_3d
2010_02_11__66995147a003,2010_02_11__66995147a003.png,2010-02-11,1.2274600440489503,0.004288249077391226,1.1912847317470556,0.04795078758775667,0.41086450273339264,0.4640061967210728,0.05314169398768015,0.8824154441556851,0.4940246846391985,0.016881782502009567,0.0581776435532468,0.46679303631500985,0.9688258447722141,1.1306340380321185,0.25129717242718497,0.06255884040920365,0.8900801925877135,4.256781907711575,5,nose_base_asym; brow_eye_right_3d; brow_eye_left_3d; mouth_nose_offset; nose_axis_bend_3d
2008_01_05__7cc5adb4554f,2008_01_05__7cc5adb4554f.png,2008-01-05,1.232553169732231,0.035610626599268946,1.2260711818891523,0.008218688599236634,0.3947626861620014,0.37346031390449097,0.021302372257510416,0.9062578725485748,0.6347822498253876,0.02109829417246658,0.006201951072025973,0.5748657062480906,0.88934505248664,1.4540280744478706,0.5064746450753548,0.026614937206940692,0.9302695486653481,4.194397454512772,7,mouth_height_3d; nose_axis_bend_3d; nose_base_width_3d; eye_level_asym; mouth_width_3d
2003_08_04_5__ff990e8c18e9,2003_08_04_5__ff990e8c18e9.png,2003-08-04,1.2434332391120477,0.027379082611567407,1.2471047169809228,0.02085252226194012,0.3098922837077474,0.3159980096382914,0.0061057259305439815,0.8981439173969493,0.5340297596342554,0.013633887685999865,0.0635374359829112,0.5104793832548608,0.9997609998995581,1.2324791646847586,0.2882241376282947,0.056876005170928404,0.9746514246831975,3.8338651452914547,3,nose_base_asym; eye_level_asym; mouth_nose_offset; central_depth_contrast; brow_eye_right_3d
2008_02_14_3__d6f0e64ab9bf,2008_02_14_3__d6f0e64ab9bf.png,2008-02-14,1.1950273784685785,0.04355733015650909,1.1863562655150977,0.042487152066056355,0.31056183760863604,0.3312279413257049,0.02066610371706884,0.8363702603467973,0.49969422598694946,0.007786143081071638,0.058425944260311724,0.4365955460983279,0.9891730591176363,1.145880473888357,0.449628705107596,0.04534401024092628,0.8422322434148337,3.76894046072659,3,nose_base_asym; mouth_height_3d; nose_ridge_length_3d; brow_height_asym; mouth_nose_offset
2001_06_16_2__69d51850915d,2001_06_16_2__69d51850915d.png,2001-06-16,1.259952203317799,0.05372777678509688,1.2508566711521611,0.032999488848470704,0.31724004962394076,0.3286104218093018,0.011370372185361022,0.9065346839577872,0.52400901456354,0.01406272476017059,0.06176793454536135,0.49628683369352267,0.9702219288246903,1.195975642007967,0.36770634117770973,0.05330003325389439,0.9252663627250823,3.609080289937283,2,nose_base_asym; brow_height_asym; mouth_nose_offset; mouth_height_3d; nose_axis_bend_3d
2001_09_06_1__245c19779dd7,2001_09_06_1__245c19779dd7.png,2001-09-06,1.248027866455701,0.02564692092890941,1.2548306971368528,0.05060676397512198,0.2812847974935408,0.3262908068865647,0.045006009393023905,0.9336635003174328,0.4874771335684695,0.013830557023951386,0.0606697372051032,0.4831716579327638,1.0247702893166981,1.2067150204608323,0.25419176114684905,0.06045597425668105,0.9618687476805066,3.6000277117093917,2,nose_base_asym; mouth_nose_offset; nose_ridge_length_3d; central_depth_contrast; brow_eye_left_3d
2007_04_08__c233b8c9babd,2007_04_08__c233b8c9babd.png,2007-04-08,1.2651180617373234,0.01673109953277141,1.2586125596366038,0.041085935320231415,0.40565585549317856,0.4369515055837405,0.031295650090561955,0.9151142293161625,0.5280358398681675,0.01700172378995149,0.053241131403372374,0.4668678254129127,0.9364698524078013,1.1497482715451073,0.27503146984522775,0.02921063827375802,0.8924024286230599,3.469567064029055,4,nose_base_asym; brow_eye_left_3d; brow_eye_right_3d; nose_axis_bend_3d; nose_ridge_length_3d
2005_05_08__ebecb32e98dc,2005_05_08__ebecb32e98dc.png,2005-05-08,1.2170963318091772,0.032104401389556614,1.2263227116721918,0.04028628113218358,0.3448525353738104,0.3698417510058805,0.024989215632070128,0.8563464199861549,0.5175966041536105,0.011238551051651797,0.058259897866331185,0.4695886619040664,0.9682951689720892,1.1750025280119774,0.40993627812653466,0.055918652648009645,0.9141842278657404,3.356421986308418,3,nose_base_asym; mouth_height_3d; mouth_nose_offset; nose_ridge_length_3d; brow_span_3d
2000_05_09_2__bef8b5c58a70,2000_05_09_2__bef8b5c58a70.png,2000-05-09,1.2632134817613554,0.0614138834429212,1.3012804504437658,0.04808099599061788,0.3171047516473057,0.32261533530358577,0.005510583656280044,0.8952364759393389,0.543036965527775,0.011223224362960655,0.05644354405440155,0.45906026998822236,0.9328353032252639,1.2663727715558646,0.3037512726605113,0.02997026167777182,0.878421827350097,3.279653644874206,2,nose_base_asym; brow_height_asym; brow_eye_asym; brow_eye_right_3d; eye_anchor_spacing_3d
