metric,description_ru,filename,date,value,robust_z,abs_robust_z
midface_ratio,Глазничная ширина к вертикали до основания носа,2010_09_20_2__89a2ee86126a.png,2010-09-20,0.8961959030135193,-1.9699109884361266,1.9699109884361266
eye_level_asym,Разность уровней глазничных якорей,2007_01_01__2768afcf0ae7.png,2007-01-01,0.02926661430723676,-1.9278572185250187,1.9278572185250187
brow_span_3d,Расстояние между центрами бровей,2008_05_14__8c59f8c2941d.png,2008-05-14,1.302208739098384,1.9229520827504405,1.9229520827504405
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2003_10_10__72f1e0141a60.png,2003-10-10,1.3187161384861619,1.905016772507963,1.905016772507963
brow_eye_asym,Асимметрия бровь–глазница,2012_05_15__b96d935cf377.png,2012-05-15,0.06264657831361975,1.8909005751838994,1.8909005751838994
midface_ratio,Глазничная ширина к вертикали до основания носа,2001_06_16__71d032996fa8.png,2001-06-16,0.9000842855488114,-1.8589473319984582,1.8589473319984582
midface_ratio,Глазничная ширина к вертикали до основания носа,2012_07_11__a475f393ba1c.png,2012-07-11,1.0293217390814693,1.8291312617399167,1.8291312617399167
brow_span_3d,Расстояние между центрами бровей,2007_11_20__c27cb3b07a3c.png,2007-11-20,1.1942304351367947,-1.8234331505114658,1.8234331505114658
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2007_11_20__c27cb3b07a3c.png,2007-11-20,1.1825919018949214,-1.7308274396393621,1.7308274396393621
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2001_11_01__431490e159af.png,2001-11-01,1.310428377972919,1.683652768210754,1.683652768210754
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2012_03_05__99b28879de92.png,2012-03-05,1.3098900002411047,1.669272834047791,1.669272834047791
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2008_02_14_3__d6f0e64ab9bf.png,2008-02-14,1.1863562655150977,-1.630282231647234,1.630282231647234
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,2004_01_15__28173705e988.png,2004-01-15,1.1866399789920568,-1.6227043158480992,1.6227043158480992
