landmark_id,x,y,z
0,-0.67964339,0.26077572,-0.50737488
1,-0.65281385,0.16888708,-0.53175688
2,-0.64277399,0.07439212,-0.53693342
3,-0.62869245,-0.01474598,-0.52591425
4,-0.60789311,-0.10184149,-0.52757692
5,-0.58445150,-0.20051235,-0.52655047
6,-0.56688243,-0.28061241,-0.50143015
7,-0.55074662,-0.36634737,-0.46441811
8,-0.52758402,-0.44485131,-0.42706218
9,-0.49816942,-0.51744944,-0.36224872
10,-0.45529163,-0.57884103,-0.30276465
11,-0.39645129,-0.63320827,-0.19623421
12,-0.32156181,-0.68783581,-0.09712804
13,-0.24318451,-0.73339069,-0.00029309
14,-0.16285837,-0.76713532,0.07412153
15,-0.06702254,-0.79019487,0.09260713
16,-0.01558372,-0.78893203,0.11310394
17,0.03567174,-0.79029334,0.09368753
18,0.13248509,-0.76117265,0.09031060
19,0.21050394,-0.73217458,-0.01161573
20,0.29226154,-0.67835253,-0.09363846
21,0.37267083,-0.62153107,-0.19795299
22,0.43721297,-0.56289291,-0.28876081
23,0.48500907,-0.50100160,-0.35387447
24,0.52201253,-0.42075890,-0.40913668
25,0.54624736,-0.34105071,-0.44617146
26,0.56467336,-0.25452426,-0.48400855
27,0.58702767,-0.16721682,-0.50345081
28,0.60654676,-0.08054315,-0.51887512
29,0.62705022,0.00479664,-0.50162768
30,0.63902140,0.08643379,-0.50982267
31,0.65189314,0.16808687,-0.51880574
32,0.67588693,0.25721437,-0.49224806
33,-0.52568710,0.42845768,0.04745943
34,-0.44475418,0.52368993,0.13563029
35,-0.34056252,0.54166013,0.21322784
36,-0.24918884,0.51884174,0.25996235
37,-0.16627249,0.48254344,0.28317076
38,-0.17338569,0.44401538,0.27130103
39,-0.25781536,0.45171183,0.25393543
40,-0.35647035,0.48011342,0.22907078
41,-0.45744568,0.47264913,0.15978353
42,0.16562410,0.49307775,0.28473300
43,0.25172803,0.52968448,0.26126143
44,0.34936330,0.55034113,0.21141081
45,0.45649689,0.52726722,0.13578631
46,0.53578770,0.42392579,0.04717300
47,0.45690468,0.47526366,0.16390224
48,0.34959579,0.48517543,0.23290792
49,0.26030779,0.46850166,0.25659612
50,0.17515317,0.46026438,0.27750635
51,-0.00043859,0.25734103,0.30953833
52,-0.00087277,0.17037782,0.37370077
53,-0.00049663,0.06501316,0.44899055
54,0.00118473,-0.00770296,0.49441338
55,-0.08056580,0.21564682,0.25015840
56,-0.11516892,0.01110036,0.34043917
57,-0.16131678,-0.06965536,0.26673514
58,-0.10617466,-0.14597088,0.32682827
59,-0.03105179,-0.14268118,0.37443167
60,0.00039791,-0.16646340,0.37549663
61,0.03081889,-0.14377975,0.37314957
62,0.10549606,-0.14683107,0.31934932
63,0.16270244,-0.07210627,0.26141280
64,0.11407270,0.00769693,0.33691183
65,0.07855989,0.21366015,0.25315022
66,-0.39907354,0.27518183,0.11968599
67,-0.33592740,0.30573913,0.17804247
68,-0.28222826,0.31674564,0.20217699
69,-0.21742201,0.29486537,0.18591094
70,-0.16685778,0.25193495,0.15596104
71,-0.22005841,0.23450261,0.18056853
72,-0.27889574,0.23227710,0.18437153
73,-0.33730298,0.23780797,0.16771811
74,-0.27153417,0.28507233,0.19759265
75,0.15056780,0.25079373,0.15956119
76,0.20901252,0.29488605,0.19188365
77,0.26521921,0.31879559,0.19869891
78,0.33162546,0.30155614,0.17615837
79,0.39793265,0.26736361,0.11981423
80,0.33434197,0.23358962,0.16532819
81,0.26704988,0.22652507,0.18482107
82,0.21586153,0.23542973,0.18478040
83,0.24530931,0.27803904,0.19622433
84,-0.21985553,-0.38196528,0.24801713
85,-0.14991049,-0.30980620,0.35184070
86,-0.05066960,-0.26105669,0.39393547
87,0.00032751,-0.27115068,0.40158388
88,0.05075534,-0.26143730,0.39117786
89,0.14386381,-0.30754304,0.34094545
90,0.20282438,-0.37675628,0.23690633
91,0.13325474,-0.43201607,0.31589773
92,0.06598221,-0.46733642,0.35168740
93,-0.00947817,-0.47588459,0.36317617
94,-0.08495708,-0.46725488,0.35487473
95,-0.15197320,-0.43391874,0.32262790
96,-0.20002352,-0.37856010,0.25474229
97,-0.06799763,-0.34856927,0.35134423
98,-0.00439596,-0.34331146,0.36385599
99,0.06076762,-0.34868354,0.34681571
100,0.18982396,-0.37271971,0.24251483
101,0.05647163,-0.37575445,0.34206074
102,-0.00725558,-0.38003913,0.35167429
103,-0.07561009,-0.37752995,0.34393695
104,-0.27920544,0.27776882,0.19660811
105,0.26440313,0.27609667,0.19561461
