a_filename,b_filename,c_filename,a_date,b_date,c_date,d_ab,d_bc,d_ac,aba_score_geometry,return_features_count,return_features
2005_07_25__d7f208557884.png,2005_08_26__13a78f673740.png,2005_09_03__e377b3477c75.png,2005-07-25,2005-08-26,2005-09-03,1.2891992235259928,1.7100032722966738,0.8680292206195136,0.6315720272918198,3,nose_base_asym; brow_eye_left_3d; brow_height_asym
2001_04_14__1e62238ac16a.png,2001_06_16_2__69d51850915d.png,2001_06_16__71d032996fa8.png,2001-04-14,2001-06-16,2001-06-16,2.6849521006768313,2.3536097263990947,1.910182163238522,0.6090987502994407,3,nose_axis_bend_3d; brow_eye_right_3d; eye_level_asym
2000_05_08_3__269c19d69c54.png,2000_05_09_2__bef8b5c58a70.png,2000_05_09__f521e8b04028.png,2000-05-08,2000-05-09,2000-05-09,2.3879034520943145,1.8079852468205437,1.510125860918514,0.5878184885389153,2,brow_height_asym; mouth_nose_offset
2000_07_08__af2f680df36f.png,2000_07_23__5f52c4b8b456.png,2001_02_27_3__19b6ca387359.png,2000-07-08,2000-07-23,2001-02-27,1.7695185354073224,1.6486736700242437,1.1388577680629501,0.570238334652833,7,nose_axis_bend_3d; midface_ratio; brow_span_3d; eye_anchor_spacing_3d; nose_base_asym; nose_base_width_3d
2006_12_21__4a0f42ab7782.png,2007_01_01__2768afcf0ae7.png,2007_01_15__38cac42dd463.png,2006-12-21,2007-01-01,2007-01-15,2.0986542809407545,1.4623685385837553,1.2141212778280124,0.5663901319342426,4,eye_level_asym; mouth_width_3d; nose_projection_3d; brow_eye_asym
2010_10_16__14bfb097ffa7.png,2010_11_01_3__3140353e0379.png,2010_11_01__7e0576e152de.png,2010-10-16,2010-11-01,2010-11-01,1.322816586549364,1.5332474542194934,0.8682908984967945,0.5597411218876343,6,mouth_nose_offset; nose_base_width_3d; mouth_height_3d; nose_axis_bend_3d; nose_projection_3d; midface_ratio
2006_06_02_2__458b8e8ca007.png,2006_07_14__17aab6062ef7.png,2006_07_15__1090d2b5f85f.png,2006-06-02,2006-07-14,2006-07-15,2.1438626382075223,1.273880932642833,1.212973700804507,0.49589808462067064,3,mouth_width_3d; central_depth_contrast; nose_axis_bend_3d
2007_09_07__d22877d53827.png,2007_09_13__b79f7e4fa307.png,2007_11_20__c27cb3b07a3c.png,2007-09-07,2007-09-13,2007-11-20,2.5437356274030996,2.5275892710235253,2.049235400468579,0.4864270487447331,5,central_depth_contrast; nose_projection_3d; brow_eye_asym; nose_axis_bend_3d; eye_level_asym
2001_02_27_3__19b6ca387359.png,2001_02_27__fb61b453ec73.png,2001_03_23__e0ecdfe4b1e3.png,2001-02-27,2001-02-27,2001-03-23,1.087309289792793,1.7112029787999938,1.0064154094870998,0.39284072480929355,3,mouth_height_3d; nose_base_width_3d; mouth_width_3d
2008_01_05__7cc5adb4554f.png,2008_01_07_2__023e25b824ac.png,2008_01_07__8cdca7ad7769.png,2008-01-05,2008-01-07,2008-01-07,3.7137485218723265,2.2347494485669,2.60602425967019,0.3682247255494233,0,
