stem,filename,date,brow_span_3d,brow_height_asym,eye_anchor_spacing_3d,eye_level_asym,brow_eye_left_3d,brow_eye_right_3d,brow_eye_asym,nose_ridge_length_3d,nose_base_width_3d,nose_axis_bend_3d,nose_base_asym,nose_projection_3d,midface_ratio,mouth_width_3d,mouth_height_3d,mouth_nose_offset,central_depth_contrast,geometry_anomaly_score,features_over_2_5mad,top_changed_features
1999_08_12_2__f8d0dfc4ed4d,1999_08_12_2__f8d0dfc4ed4d.png,1999-08-12,1.2483176390222281,0.03702125039218784,1.2670900802609248,0.03038556339636045,0.36846808380793894,0.384555122928645,0.01608703912070608,0.891754478188502,0.5300368254965222,0.011905220217954718,0.06005310025517902,0.4671713292973609,0.9357085906850172,1.137506296750648,0.3275567873767724,0.039826621898474725,0.9247756633604725,3.045504566467917,1,nose_base_asym; eye_level_asym; brow_eye_left_3d; mouth_nose_offset; mouth_width_3d
1999_09_01__fdfba9d7bcd5,1999_09_01__fdfba9d7bcd5.png,1999-09-01,1.250862659911936,0.028676648617574796,1.256683585221951,0.04896191274634759,0.35614373861156706,0.3851677569479926,0.02902401833642554,0.8968145309538459,0.5527032142209487,0.00781073826336252,0.017368278336850982,0.48022484466636356,0.9525227784908535,1.261398216354204,0.3034734529224641,0.005052371285229243,0.897690277101025,0.869829738568837,0,brow_eye_left_3d; nose_base_width_3d; mouth_nose_offset; brow_eye_right_3d; nose_axis_bend_3d
1999_10_19__330e619ff8aa,1999_10_19__330e619ff8aa.png,1999-10-19,1.2412838892412708,0.029172742393694162,1.248573166045113,0.03008898785673486,0.35324769764059344,0.3625332601138203,0.009285562473226872,0.8957153468304386,0.5249822044568621,0.00986180658990063,0.01637958840332814,0.4814878655145609,0.9657071735296775,1.2219980977737444,0.3084113339389558,0.004484720682850694,0.8943022792157178,1.1627470035088188,0,eye_level_asym; brow_eye_asym; brow_eye_left_3d; mouth_nose_offset; brow_height_asym
1999_10_23__9487fe3a5a1d,1999_10_23__9487fe3a5a1d.png,1999-10-23,1.2627198711889942,0.023289476593157388,1.2501114914579496,0.042780177118444174,0.2932582041908711,0.3250546152423646,0.0317964110514935,0.8942501922236619,0.5277882171251437,0.010346629850098705,0.012010243638187344,0.4944565552916737,0.9777744640648188,1.1860512822708427,0.38315830015096486,0.027925685018245425,0.8714807725364301,1.3181315009098349,0,mouth_height_3d; brow_eye_left_3d; brow_eye_right_3d; nose_base_asym; mouth_nose_offset
1999_12_19__268029ccb16b,1999_12_19__268029ccb16b.png,1999-12-19,1.2712338440844801,0.008686716708122932,1.303435912607232,0.040179171020882865,0.3116990599693678,0.34793256162464115,0.03623350165527334,0.8963450580821029,0.5641387976847447,0.010242210499584318,0.05418543294019083,0.49227714270899825,0.901621490624693,1.2479035440122903,0.34315197307098155,0.05219781606123457,0.8908211343607803,2.9606932539978836,1,nose_base_asym; mouth_nose_offset; midface_ratio; eye_anchor_spacing_3d; nose_base_width_3d
2000_01_14__71a2978f8963,2000_01_14__71a2978f8963.png,2000-01-14,1.2813614299812421,0.019298935014973262,1.276455175345657,0.04656246114641249,0.3397646592658128,0.37780468214233676,0.03804002287652397,0.8931628845217464,0.5571684277392046,0.009185452235386186,0.013627373477772747,0.5240275748226092,0.9291675761414866,1.3146727940079015,0.25316485654817267,0.01215907726061266,0.920969958524257,1.2025341246562018,0,mouth_width_3d; nose_projection_3d; brow_span_3d; nose_base_width_3d; midface_ratio
2000_01_25__abb13fb9f924,2000_01_25__abb13fb9f924.png,2000-01-25,1.2817609702001131,0.014890525519209552,1.3039003522001413,0.04129179506489333,0.3202925867279095,0.3513758352270114,0.03108324849910188,0.9073445671478395,0.6005252910183484,0.010287209872148121,0.012256663948744688,0.5325700197499164,0.9329097579102279,1.3866952981953236,0.29420708945866714,0.010175202738859114,0.937224868757309,1.9256312287122863,2,nose_base_width_3d; mouth_width_3d; nose_projection_3d; eye_anchor_spacing_3d; central_depth_contrast
2000_01_26__491e4b1a2e04,2000_01_26__491e4b1a2e04.png,2000-01-26,1.2265483041315675,0.01796707585766777,1.245153902844678,0.049429311596498215,0.3300769825453,0.3672506675803789,0.037173685035078896,0.8761723704369027,0.5371730184286668,0.005597778751246183,0.015360561069507943,0.4852608830638103,0.9685383562602692,1.2956330491626096,0.25777280757696297,0.013495248709688615,0.893103948734609,0.9203224725618027,0,nose_axis_bend_3d; mouth_width_3d; nose_ridge_length_3d; brow_span_3d; mouth_height_3d
2000_03_25__81bbc9e35b9f,2000_03_25__81bbc9e35b9f.png,2000-03-25,1.2377924166721124,0.03420663903802801,1.2365581749534287,0.04022553309006682,0.3286744194246974,0.3506438502163757,0.02196943079167829,0.8675531446088183,0.5406642737670554,0.006052463151571081,0.016227781489193346,0.5029679193769272,0.9396136739241817,1.1986912943792956,0.42649988259404903,0.007659638350928859,0.897073312779963,1.5099625259461482,1,mouth_height_3d; nose_axis_bend_3d; nose_ridge_length_3d; brow_height_asym; eye_level_asym
2000_04_17__c4939789cb22,2000_04_17__c4939789cb22.png,2000-04-17,1.2510417407185601,0.029555442895238038,1.258470961443284,0.03891647604338211,0.29656534202756524,0.3171532472206412,0.02058790519307596,0.9013598741590464,0.5320127289571366,0.009498098427438848,0.01806450580873695,0.5266203961436469,0.9584891021689039,1.2556678432604569,0.39376830469213175,0.0116276869163634,0.934093954464015,1.5903539154728827,0,mouth_height_3d; brow_eye_right_3d; nose_projection_3d; brow_eye_left_3d; central_depth_contrast
2000_05_08_3__269c19d69c54,2000_05_08_3__269c19d69c54.png,2000-05-08,1.2697029727244988,0.03891866715286452,1.2687179369432584,0.053174814579776686,0.33283694301202615,0.36243307652877654,0.02959613351675039,0.911621963070186,0.5563077479202211,0.01621425870362773,0.01596592373661706,0.5241912560881121,0.9516065736477216,1.300605420401449,0.24095520462248454,0.002615650056040794,0.9372426771565835,1.5191842022968345,0,nose_axis_bend_3d; brow_height_asym; nose_projection_3d; central_depth_contrast; mouth_width_3d
