landmark_id,x,y,z
0,-1.16504753,0.47517523,0.77161926
1,-1.18934357,0.31965137,0.70457208
2,-1.20657229,0.17089199,0.66941196
3,-1.18656552,0.03685692,0.66053259
4,-1.17868209,-0.09457309,0.63414627
5,-1.17096806,-0.24307972,0.58754855
6,-1.10031307,-0.37510687,0.58014429
7,-1.01595032,-0.51734304,0.58943045
8,-0.93690699,-0.65340024,0.59490716
9,-0.81754214,-0.78547835,0.60630113
10,-0.70248729,-0.89706635,0.58672434
11,-0.50290585,-0.99138772,0.55031747
12,-0.30393913,-1.07044458,0.46573398
13,-0.10516065,-1.14274323,0.38040441
14,0.05456321,-1.19257295,0.29458505
15,0.13708249,-1.22813451,0.16066974
16,0.19429646,-1.22541952,0.09608126
17,0.18858409,-1.22920179,0.01249895
18,0.23056443,-1.18364966,-0.14062589
19,0.12224166,-1.14391470,-0.32074159
20,0.04027589,-1.05191600,-0.50913745
21,-0.06305102,-0.96731538,-0.71788019
22,-0.16043596,-0.85861796,-0.87099296
23,-0.23617443,-0.74795318,-0.98090053
24,-0.31274769,-0.61140847,-1.06716192
25,-0.37452570,-0.47955608,-1.12463570
26,-0.44565302,-0.33725065,-1.17569089
27,-0.48876077,-0.19578512,-1.23090684
28,-0.50587147,-0.05093352,-1.27478516
29,-0.46287456,0.08877731,-1.29660368
30,-0.46974605,0.22707583,-1.30567861
31,-0.45554280,0.36601415,-1.32848263
32,-0.39925209,0.51601362,-1.35296011
33,-0.25441903,0.52327144,0.82357228
34,-0.03286650,0.65837801,0.73764896
35,0.17053236,0.68378776,0.61677349
36,0.30012217,0.64120138,0.50103277
37,0.36829692,0.57787097,0.39081722
38,0.33863765,0.52835846,0.39130029
39,0.28827977,0.54563898,0.52096373
40,0.19230540,0.59519678,0.66703868
41,-0.01399260,0.58304417,0.79060733
42,0.53095555,0.57802576,-0.04096039
43,0.55024087,0.64897072,-0.17698127
44,0.53647763,0.69997257,-0.35139945
45,0.46648645,0.68298215,-0.57591504
46,0.34188157,0.55413276,-0.78511178
47,0.51062411,0.60585868,-0.58148378
48,0.57739246,0.61217690,-0.35784400
49,0.55106121,0.55922639,-0.20891212
50,0.52106434,0.53161955,-0.06698880
51,0.45124629,0.34029445,0.16395836
52,0.49565285,0.22707796,0.19581471
53,0.59834397,0.08118121,0.23859024
54,0.67735583,-0.01320448,0.25994682
55,0.32170197,0.27933782,0.25659013
56,0.40655962,0.02060420,0.34719217
57,0.27806655,-0.07534406,0.36131251
58,0.40337139,-0.18168630,0.31755921
59,0.52616680,-0.20440421,0.24757440
60,0.54207480,-0.23986000,0.19634125
61,0.55578524,-0.19822311,0.16475129
62,0.50684184,-0.18042207,0.01812983
63,0.44343194,-0.07147471,-0.09852778
64,0.52606583,0.02587454,0.00949604
65,0.40041009,0.29102749,0.00586990
66,-0.07383767,0.37157819,0.64381695
67,0.09450503,0.44908383,0.58759415
68,0.15925169,0.47267407,0.51964027
69,0.16874912,0.42409071,0.42343441
70,0.15616460,0.33773592,0.33473450
71,0.15338895,0.32033285,0.42087877
72,0.11847366,0.32378021,0.50092399
73,0.05704025,0.33574632,0.57047683
74,0.15783678,0.41526243,0.49860850
75,0.32552558,0.37038368,-0.18340096
76,0.40906581,0.44278401,-0.25377846
77,0.44611382,0.48910975,-0.32832852
78,0.42431915,0.46367246,-0.43816194
79,0.35825053,0.39160633,-0.57512873
80,0.38980511,0.34585619,-0.46011078
81,0.39472893,0.33188525,-0.34748179
82,0.37229466,0.33764127,-0.26490080
83,0.41969568,0.42149824,-0.30174568
84,0.19952674,-0.56572300,0.47353917
85,0.36339819,-0.47307450,0.38413259
86,0.48537856,-0.40562496,0.25683022
87,0.52549011,-0.41684648,0.18252899
88,0.54501003,-0.39763299,0.10588993
89,0.52914715,-0.44560820,-0.05928699
90,0.44701293,-0.53288251,-0.22688602
91,0.51166743,-0.57860625,-0.04993813
92,0.53300202,-0.60980374,0.06922033
93,0.50801158,-0.61762673,0.18505420
94,0.45569512,-0.61294538,0.29437196
95,0.36533031,-0.59086782,0.38054287
96,0.22114311,-0.55079043,0.44870365
97,0.42735538,-0.50887609,0.26639873
98,0.47650644,-0.50546932,0.16950770
99,0.50024641,-0.49834827,0.06473786
100,0.44809258,-0.51979387,-0.20809524
101,0.49576601,-0.50945801,0.07144339
102,0.48037702,-0.51887619,0.16923669
103,0.43025967,-0.52178377,0.26768881
104,0.15057570,0.40296319,0.50771755
105,0.42507970,0.42026925,-0.32933655
