landmark_id,x,y,z
0,-1.16625750,0.47080833,0.79136401
1,-1.19257140,0.31206700,0.72616434
2,-1.20694959,0.16239604,0.68874085
3,-1.18353939,0.02694213,0.67418271
4,-1.17437840,-0.10408302,0.64191818
5,-1.16081655,-0.24887520,0.59843647
6,-1.09213078,-0.38247836,0.59131819
7,-1.00920761,-0.52599818,0.59921503
8,-0.93119717,-0.66301692,0.60355711
9,-0.81195635,-0.79619485,0.61317855
10,-0.69350290,-0.90787089,0.59187227
11,-0.48747399,-1.00233507,0.55552274
12,-0.27733484,-1.07554197,0.46772936
13,-0.06691918,-1.14278591,0.38630223
14,0.10204951,-1.19070220,0.30732715
15,0.18797229,-1.22512960,0.17333601
16,0.24626215,-1.22037208,0.10735302
17,0.23771209,-1.22446787,0.02138798
18,0.27507734,-1.17961931,-0.13597721
19,0.15172055,-1.14204180,-0.31489679
20,0.05856373,-1.05262482,-0.50536478
21,-0.05327164,-0.97404450,-0.71810341
22,-0.15705469,-0.86932462,-0.87355465
23,-0.23383500,-0.76200897,-0.98690766
24,-0.30846438,-0.62524688,-1.07326853
25,-0.36701217,-0.49218759,-1.12991166
26,-0.43426272,-0.34775692,-1.17869329
27,-0.47340935,-0.20414428,-1.22980857
28,-0.49490714,-0.06143526,-1.27147055
29,-0.45081502,0.07900866,-1.29605460
30,-0.45712760,0.21835472,-1.30885816
31,-0.44556391,0.35632747,-1.33430433
32,-0.39212319,0.50608009,-1.36061823
33,-0.24040873,0.53354830,0.82571656
34,-0.01972104,0.66511983,0.73663199
35,0.17911361,0.69114667,0.61243498
36,0.31093630,0.65511668,0.49398589
37,0.38069972,0.58894819,0.38649267
38,0.34838498,0.53880686,0.38644436
39,0.29116967,0.55596131,0.51269174
40,0.19825833,0.60691935,0.65747511
41,-0.00193540,0.59833628,0.78493077
42,0.53571379,0.58515823,-0.02951863
43,0.55285549,0.65005481,-0.16399279
44,0.54057306,0.69371444,-0.33959943
45,0.47287843,0.68308234,-0.56237406
46,0.35036471,0.55904102,-0.77599752
47,0.51363993,0.60956931,-0.56672031
48,0.57403129,0.60705525,-0.34479249
49,0.54749650,0.55709344,-0.20052809
50,0.52350080,0.53557038,-0.05785087
51,0.46160308,0.37573588,0.16866909
52,0.52612799,0.26124364,0.21056512
53,0.63587010,0.09721069,0.26130274
54,0.71716768,-0.00735134,0.28585956
55,0.33024359,0.30667788,0.24496913
56,0.42719159,0.03245546,0.35610643
57,0.27802628,-0.07019292,0.35276762
58,0.40924701,-0.18327320,0.31800628
59,0.54217875,-0.20407604,0.25833261
60,0.55452877,-0.24109167,0.20553336
61,0.57258964,-0.19976072,0.17748109
62,0.51676351,-0.18420807,0.02954870
63,0.44120806,-0.07157342,-0.08601624
64,0.54447132,0.03741119,0.02660315
65,0.39537200,0.32055140,0.01590808
66,-0.06580874,0.38113198,0.62893569
67,0.10243984,0.47311226,0.56449342
68,0.15914100,0.50301582,0.48953736
69,0.16237551,0.44846502,0.39567727
70,0.15357193,0.36075735,0.31130710
71,0.15524836,0.33173707,0.39442834
72,0.12165295,0.32694036,0.47642714
73,0.06179130,0.33457881,0.54912615
74,0.15778682,0.43289709,0.47069910
75,0.30360159,0.39439121,-0.17866440
76,0.39086598,0.45560020,-0.24964634
77,0.43211794,0.49625421,-0.32140392
78,0.41004500,0.47066873,-0.42818582
79,0.35054806,0.40245372,-0.55747330
80,0.37831044,0.34631246,-0.44679502
81,0.38045880,0.33593100,-0.33395123
82,0.35385936,0.34744000,-0.25235593
83,0.40367308,0.42864019,-0.29299173
84,0.18983299,-0.54276472,0.46376044
85,0.35121635,-0.46677145,0.36756939
86,0.47463012,-0.41629973,0.25289595
87,0.51017380,-0.43287283,0.18153900
88,0.53395933,-0.41061318,0.10897354
89,0.51537848,-0.45243722,-0.05062081
90,0.43893924,-0.52544773,-0.23528326
91,0.50593185,-0.54407102,-0.05042136
92,0.53019708,-0.56012273,0.06906479
93,0.50680453,-0.56442666,0.18032388
94,0.45347646,-0.56165761,0.28389648
95,0.35904464,-0.55030310,0.36400408
96,0.20704350,-0.52916902,0.43689391
97,0.40845433,-0.50227356,0.25589174
98,0.45892271,-0.50430351,0.16157800
99,0.47959113,-0.49635756,0.05860779
100,0.43727621,-0.51317221,-0.21643543
101,0.48605540,-0.47649786,0.06642083
102,0.47112191,-0.48451841,0.16278793
103,0.42052957,-0.48587644,0.25619918
104,0.15155430,0.41769546,0.48054036
105,0.41028318,0.42507395,-0.31991825
