landmark_id,x_px,y_px,visible,vertex_index
0,162.90675354003906,263.0872802734375,0,16743
1,168.78689575195312,282.7198181152344,0,16876
2,169.32144165039062,302.8409423828125,0,16885
3,171.9064178466797,322.0926513671875,0,16893
4,176.62010192871094,341.7939147949219,0,16652
5,182.91494750976562,365.1304626464844,0,16279
6,186.17137145996094,381.8724365234375,0,16262
7,189.1982879638672,400.0406494140625,0,16304
8,193.82220458984375,416.59674072265625,0,32151
9,199.25035095214844,431.9183044433594,0,32511
10,207.66656494140625,444.94244384765625,0,32829
11,218.317138671875,457.0332336425781,0,33141
12,233.09829711914062,468.0651550292969,0,33400
13,248.98841857910156,476.5455627441406,1,33586
14,265.0742492675781,482.9897766113281,1,33704
15,286.0044250488281,487.7577209472656,0,33794
16,296.9782409667969,487.21881103515625,1,33838
17,308.77459716796875,487.6491394042969,0,33884
18,330.0541687011719,481.2730407714844,1,33973
19,349.0603332519531,476.3485107421875,0,34097
20,369.0518798828125,466.3553161621094,0,34290
21,388.375244140625,454.9367980957031,0,34561
22,403.0548095703125,442.1935729980469,0,34879
23,414.39154052734375,429.0572204589844,0,35202
24,423.2574462890625,411.8029479980469,0,35613
25,428.84674072265625,394.3256530761719,0,27801
26,432.8338928222656,375.24163818359375,0,27813
27,437.3577575683594,355.5981140136719,0,27709
28,441.34014892578125,335.2569580078125,0,27447
29,445.12445068359375,315.49151611328125,1,27083
30,446.8052673339844,297.22259521484375,0,27075
31,447.3358459472656,279.3284912109375,1,27196
32,451.0384826660156,259.3294372558594,1,27314
33,183.22836303710938,217.59423828125,1,28111
34,197.60484313964844,196.25621032714844,1,28787
35,217.2206268310547,193.52236938476562,1,29177
36,236.04205322265625,199.24154663085938,1,29382
37,253.72840881347656,208.30226135253906,1,29549
38,253.08157348632812,215.84205627441406,1,29526
39,234.9687042236328,213.95643615722656,1,5547
40,213.95361328125,207.35031127929688,1,4515
41,194.4036407470703,207.99905395507812,1,2967
42,326.08111572265625,204.2640838623047,1,30288
43,345.14849853515625,195.4484405517578,1,30454
44,366.740478515625,188.8306121826172,1,30662
45,390.1051330566406,191.87127685546875,1,31056
46,409.40460205078125,214.28887939453125,1,31716
47,390.8180236816406,203.36892700195312,1,13141
48,367.2383117675781,203.69485473632812,1,11593
49,348.225830078125,208.29356384277344,1,30488
50,328.744140625,211.22418212890625,1,30318
51,291.9731140136719,256.1239318847656,1,8161
52,289.73126220703125,276.41802978515625,1,8174
53,287.4215393066406,300.8560485839844,1,8185
54,286.8559265136719,316.663818359375,1,8190
55,276.3766784667969,266.46697998046875,1,7082
56,266.6299133300781,312.89312744140625,1,6743
57,258.6789855957031,331.852294921875,1,5485
58,269.5090026855469,348.9613952636719,1,6637
59,283.96722412109375,345.6847839355469,1,7842
60,290.26904296875,350.42626953125,1,8204
61,296.4241027832031,345.72918701171875,1,8562
62,313.1365966796875,348.4621887207031,1,9762
63,326.1380310058594,332.4913330078125,1,10886
64,313.1965637207031,313.6021423339844,1,9626
65,309.1208801269531,266.106201171875,1,9242
66,207.6095428466797,250.2791290283203,0,2215
67,220.41204833984375,240.75912475585938,1,3888
68,232.7232666015625,237.81475830078125,0,4661
69,247.27272033691406,245.581787109375,0,5439
70,257.96673583984375,257.693359375,1,6215
71,246.68931579589844,262.2436218261719,1,5191
72,233.23838806152344,261.9266662597656,1,4416
73,220.33802795410156,260.2483825683594,1,3642
74,234.9593963623047,246.54896545410156,1,4666
75,327.83038330078125,256.5598449707031,1,10077
76,341.8404235839844,242.2809295654297,1,10969
77,355.4590759277344,235.95367431640625,1,11610
78,368.67901611328125,240.82907104492188,1,12514
79,381.8609619140625,249.24685668945312,1,14066
80,368.75958251953125,258.8282470703125,1,12784
81,353.4803466796875,260.2354736328125,1,11881
82,341.7291259765625,259.156494140625,0,11236
83,349.59600830078125,246.39456176757812,1,11487
84,240.60659790039062,402.4859924316406,1,5522
85,255.9392547607422,385.06591796875,1,6025
86,278.1241149902344,373.6519470214844,1,7495
87,290.669921875,375.4111022949219,1,8215
88,303.1858215332031,373.0615539550781,1,8935
89,327.2449035644531,383.73773193359375,1,10395
90,347.38690185546875,397.98956298828125,1,10795
91,328.2414855957031,409.7371520996094,1,9555
92,311.5015869140625,418.34063720703125,1,8836
93,292.5906066894531,420.42022705078125,1,8236
94,273.59393310546875,418.99920654296875,1,7636
95,258.3324890136719,411.4613342285156,1,6915
96,245.2140655517578,400.7601013183594,1,5909
97,275.3598937988281,391.46600341796875,1,7384
98,291.3514709472656,389.3952941894531,1,8223
99,308.3096008300781,390.7201843261719,1,9064
100,343.87188720703125,396.96173095703125,1,10537
101,309.2309875488281,398.1943359375,1,8829
102,292.8315734863281,398.8473815917969,1,8229
103,276.12506103515625,398.7912902832031,1,7629
104,233.12359619140625,248.632568359375,1,4538
105,353.99896240234375,246.93006896972656,1,11745
