landmark_id,x,y,z
0,-0.38505802,0.39490557,-0.53920400
1,-0.40961245,0.36417007,-0.48511043
2,-0.41950616,0.35090935,-0.44413331
3,-0.42347631,0.34221083,-0.39664328
4,-0.42184711,0.33995137,-0.36233029
5,-0.41853160,0.33473462,-0.32851011
6,-0.40152103,0.33084774,-0.27924979
7,-0.38609841,0.34417424,-0.25118402
8,-0.37365612,0.35007203,-0.22530459
9,-0.33978379,0.36425668,-0.19283052
10,-0.30983788,0.37819967,-0.16759886
11,-0.38428625,0.41776976,-0.58119041
12,-0.42149192,0.44145474,-0.51572740
13,-0.45119178,0.46993008,-0.46945015
14,-0.46328393,0.48519355,-0.42386246
15,-0.46730572,0.50504875,-0.37613648
16,-0.46089655,0.50804144,-0.34419665
17,-0.43929189,0.49517003,-0.30081654
18,-0.41612384,0.48988342,-0.26229954
19,-0.39384207,0.46995723,-0.24286978
20,-0.36715293,0.43997779,-0.21714513
21,-0.34437963,0.42038196,-0.18734469
22,0.08233877,0.39984119,0.66898036
23,0.01226855,0.36413473,0.64449394
24,-0.03095368,0.34631848,0.60888898
25,-0.06411453,0.33706284,0.57341874
26,-0.08717018,0.32882050,0.54709142
27,-0.10186621,0.33471459,0.51530647
28,-0.11688579,0.33989981,0.48258752
29,-0.12814665,0.34501088,0.43502387
30,-0.13409767,0.35750428,0.40666685
31,-0.13324271,0.36933279,0.36260203
32,-0.12731355,0.38036844,0.32859272
33,0.07633465,0.41850203,0.69911754
34,0.01247960,0.44559222,0.67103821
35,-0.03887391,0.46722430,0.64474577
36,-0.07810148,0.48343351,0.61512440
37,-0.10252359,0.49118197,0.58621031
38,-0.12671895,0.50716001,0.54704678
39,-0.13571152,0.49468532,0.51160496
40,-0.14192152,0.48543000,0.46950111
41,-0.14316882,0.46649608,0.42646441
42,-0.14165796,0.44732395,0.39666086
43,-0.14118333,0.41761640,0.35582820
44,-0.36075065,0.61732936,-0.77406830
45,-0.41529939,0.71647263,-0.70042932
46,-0.45861077,0.76905674,-0.60222274
47,-0.49443397,0.80775315,-0.47825712
48,-0.51967090,0.80606455,-0.36149234
49,-0.53201848,0.76811242,-0.23120449
50,-0.51533550,0.72895926,-0.11981236
