landmark_id,x,y,z
0,-0.40096647,0.26435733,0.11604398
1,-0.37332973,0.24731922,0.14434594
2,-0.35134631,0.23890126,0.15879643
3,-0.32406902,0.23246081,0.17082857
4,-0.30351853,0.23002598,0.17666776
5,-0.28382319,0.22552428,0.18219979
6,-0.25228354,0.22144370,0.18229493
7,-0.23245320,0.22863276,0.17865027
8,-0.21543337,0.23116735,0.17612368
9,-0.18990979,0.24037313,0.16232358
10,-0.17051475,0.24860969,0.15013480
11,-0.42055026,0.27889851,0.10891164
12,-0.39509845,0.29183689,0.14544220
13,-0.37383673,0.30691165,0.17373815
14,-0.34850171,0.31643754,0.18899250
15,-0.32038778,0.32745993,0.20175517
16,-0.29973727,0.32891545,0.20451695
17,-0.26958498,0.32221779,0.20023276
18,-0.24298266,0.31817734,0.19526272
19,-0.22652216,0.30574921,0.18597883
20,-0.20573899,0.28862780,0.17496565
21,-0.18517205,0.27544305,0.16842836
22,0.42609665,0.28364342,0.10240097
23,0.39571437,0.26139084,0.13511489
24,0.36561221,0.25012329,0.15134144
25,0.33761239,0.24333721,0.16292886
26,0.31792459,0.23620154,0.17211398
27,0.29566106,0.23977247,0.17160258
28,0.27368888,0.24138413,0.17269970
29,0.24404098,0.24101083,0.17112459
30,0.22698911,0.24745172,0.16612229
31,0.20017216,0.25284973,0.15556781
32,0.18162790,0.25913909,0.14556658
33,0.43760213,0.29582763,0.11471523
34,0.41005492,0.30702421,0.14463784
35,0.38278979,0.31493795,0.16656142
36,0.35656095,0.32013023,0.18144023
37,0.33439928,0.32191956,0.18899710
38,0.30723324,0.32767615,0.19703135
39,0.28550750,0.31893963,0.19467311
40,0.26178518,0.31254146,0.19007392
41,0.23693991,0.30362520,0.18175186
42,0.21889172,0.29498923,0.17399378
43,0.19395302,0.28015187,0.16237278
44,-0.53005600,0.40295041,0.05353625
45,-0.49804425,0.46416727,0.10332032
46,-0.44918850,0.49844295,0.15180898
47,-0.38532493,0.51349825,0.20435147
48,-0.32223681,0.50652736,0.24739540
49,-0.24768972,0.48277587,0.28170574
50,-0.17628492,0.46337157,0.29536504
51,-0.48963869,0.42666525,0.12569539
52,-0.44182470,0.45842436,0.17905815
53,-0.38027436,0.45477065,0.22214553
54,-0.30561227,0.44611314,0.25200215
55,-0.23460980,0.42725739,0.26420459
56,-0.15941265,0.41366702,0.27640203
57,0.54468226,0.43024251,0.03837604
58,0.51325339,0.48179379,0.08946706
