landmark_id,x_px,y_px,visible,vertex_index
0,272.0340881347656,518.8890991210938,0,16743
1,288.71282958984375,556.4559326171875,0,16876
2,296.5556945800781,595.181396484375,0,16885
3,295.54193115234375,630.8259887695312,0,16893
4,297.2353210449219,664.734375,0,16652
5,297.8858947753906,699.7109985351562,0,16279
6,292.9795227050781,738.251953125,0,16262
7,284.8534240722656,778.9647216796875,0,16304
8,277.6214904785156,817.0780029296875,0,32151
9,263.8708190917969,853.2583618164062,0,32511
10,255.90899658203125,885.896484375,0,32829
11,242.96031188964844,912.0242309570312,0,33141
12,238.28138732910156,935.48193359375,0,33400
13,230.13059997558594,955.7886352539062,0,33586
14,226.60162353515625,972.9696655273438,0,33704
15,247.51707458496094,985.9528198242188,1,33794
16,255.95693969726562,985.6981201171875,1,33838
17,277.9568786621094,989.02587890625,1,33884
18,312.94256591796875,974.1893310546875,1,33973
19,373.2739562988281,960.297607421875,1,34097
20,432.0040588378906,932.6228637695312,1,34290
21,497.9177551269531,907.0140380859375,1,34561
22,551.4719848632812,877.2099609375,1,34879
23,590.60498046875,845.426025390625,1,35202
24,622.2605590820312,803.7044677734375,1,35613
25,643.01171875,761.86572265625,1,27801
26,662.9691772460938,717.3788452148438,1,27813
27,680.3223266601562,673.9197387695312,1,27709
28,694.1749877929688,635.456787109375,1,27447
29,694.6807861328125,595.4120483398438,1,27083
30,699.0868530273438,556.5698852539062,1,27075
31,705.95458984375,515.8404541015625,1,27196
32,707.4551391601562,468.61181640625,1,27314
33,144.01100158691406,453.1781311035156,0,28111
34,137.3563232421875,412.25616455078125,0,28787
35,144.0889892578125,396.712646484375,1,29177
36,160.07440185546875,396.11297607421875,1,29382
37,176.50445556640625,409.54766845703125,1,29549
38,180.1058349609375,423.8385314941406,1,29526
39,158.46826171875,430.9903564453125,1,5547
40,130.4541473388672,425.8028564453125,1,4515
41,123.55831146240234,431.921875,0,2967
42,255.6994171142578,393.3090515136719,1,30288
43,288.26336669921875,372.8388977050781,1,30454
44,337.41143798828125,366.8282775878906,1,30662
45,405.5012512207031,376.4902038574219,1,31056
46,474.9386901855469,414.76043701171875,1,31716
47,396.3071594238281,397.8902282714844,1,13141
48,332.4759216308594,397.8746337890625,1,11593
49,296.93646240234375,405.4714660644531,1,30488
50,263.70654296875,408.21307373046875,1,30318
51,207.1516571044922,460.5643310546875,1,8161
52,189.52236938476562,493.8344421386719,1,8174
53,161.39102172851562,536.0733032226562,1,8185
54,143.26658630371094,564.0410766601562,1,8190
55,205.60498046875,480.4020690917969,0,7082
56,161.9315948486328,564.4794311523438,0,6743
57,177.11582946777344,607.071533203125,0,5485
58,173.22093200683594,641.6018676757812,0,6637
59,178.0658721923828,636.048583984375,1,7842
60,188.06016540527344,648.3905639648438,1,8204
61,195.6344451904297,635.8424072265625,1,8562
62,238.29652404785156,638.7623291015625,1,9762
63,273.6869201660156,602.0538330078125,1,10886
64,233.0797119140625,560.905517578125,1,9626
65,250.69850158691406,478.718994140625,1,9242
66,160.93218994140625,488.6756286621094,0,2215
67,159.47378540039062,470.4828796386719,1,3888
68,164.9429931640625,460.75360107421875,1,4661
69,188.04751586914062,463.8161315917969,0,5439
70,215.82516479492188,476.1542663574219,0,6215
71,193.3497772216797,480.5815124511719,0,5191
72,174.4409637451172,483.5252685546875,1,4416
73,162.9524383544922,486.99627685546875,1,3642
74,170.9209747314453,469.6796875,1,4666
75,307.36767578125,468.5389709472656,0,10077
76,315.3603515625,451.85406494140625,1,10969
77,329.0263366699219,442.3335876464844,1,11610
78,355.0879821777344,448.7840881347656,1,12514
79,399.477294921875,464.1035461425781,0,14066
80,362.8235168457031,467.66973876953125,1,12784
81,333.9337463378906,469.7663879394531,1,11881
82,317.72467041015625,468.2095031738281,0,11236
83,323.7777099609375,455.6727294921875,1,11487
84,163.53684997558594,770.1771850585938,1,5522
85,159.7603759765625,733.6882934570312,1,6025
86,173.69406127929688,710.6091918945312,1,7495
87,187.03201293945312,714.5968627929688,1,8215
88,205.1602783203125,707.3923950195312,1,8935
89,252.29005432128906,724.95068359375,1,10395
90,312.5848388671875,755.222900390625,1,10795
91,250.471923828125,765.92724609375,1,9555
92,214.6482696533203,773.5836181640625,1,8836
93,187.8683624267578,777.1260375976562,1,8236
94,169.1107635498047,777.2835083007812,1,7636
95,162.75433349609375,774.2779541015625,0,6915
96,167.75921630859375,767.3428344726562,0,5909
97,180.91387939453125,743.0494995117188,1,7384
98,197.1348876953125,736.0709228515625,1,8223
99,225.1111602783203,737.5391235351562,1,9064
100,307.1304626464844,751.9772338867188,0,10537
101,223.84385681152344,746.138916015625,1,8829
102,200.6986083984375,748.9033203125,1,8229
103,182.91366577148438,752.4734497070312,1,7629
104,169.65821838378906,472.0031433105469,1,4538
105,328.84698486328125,455.64251708984375,1,11745
