landmark_id,x,y,z,visible,vertex_index
0,-0.353349894285202,0.24216416478157043,0.1111333891749382,0,2476
1,-0.3310229778289795,0.22857564687728882,0.1362231969833374,0,3124
2,-0.31305786967277527,0.2271246761083603,0.15094168484210968,0,3513
3,-0.29051312804222107,0.22728370130062103,0.1630503237247467,0,3900
4,-0.27210092544555664,0.22856782376766205,0.16865722835063934,1,4158
5,-0.2514147162437439,0.228617861866951,0.17083987593650818,1,4417
6,-0.21937397122383118,0.2287149280309677,0.1728750616312027,1,4805
7,-0.20251543819904327,0.2352329045534134,0.17023688554763794,1,5062
8,-0.18663665652275085,0.23687447607517242,0.16870608925819397,0,5320
9,-0.17051252722740173,0.2450455129146576,0.14471164345741272,0,5704
10,-0.15669293701648712,0.25398847460746765,0.1326337456703186,0,6216
11,-0.36614853143692017,0.25066429376602173,0.11090242862701416,0,1955
12,-0.3499770760536194,0.2716236710548401,0.1340826451778412,1,2985
13,-0.3352459967136383,0.29198020696640015,0.15466782450675964,0,3499
14,-0.3169751465320587,0.30583620071411133,0.1686125248670578,1,3886
15,-0.29743102192878723,0.3216134011745453,0.18102310597896576,0,4272
16,-0.28327086567878723,0.3269437253475189,0.18708398938179016,0,4530
17,-0.2626228630542755,0.3266598582267761,0.1891593486070633,0,4918
18,-0.2420697957277298,0.3235701322555542,0.18634161353111267,1,5306
19,-0.22746725380420685,0.3127664625644684,0.1749339997768402,1,5437
20,-0.20486584305763245,0.2923119068145752,0.15940773487091064,0,5568
21,-0.1828853189945221,0.2776293158531189,0.14886988699436188,1,5826
22,0.3531785309314728,0.24878394603729248,0.10866886377334595,0,14197
23,0.3246390223503113,0.23370850086212158,0.14280696213245392,0,13298
24,0.2954990267753601,0.22531460225582123,0.15796101093292236,1,12784
25,0.2702118754386902,0.22226688265800476,0.16942699253559113,1,12397
26,0.25156843662261963,0.21999967098236084,0.17123834788799286,1,12140
27,0.23223727941513062,0.22411327064037323,0.17744092643260956,1,11881
28,0.21085652709007263,0.2276391088962555,0.1783648282289505,1,11623
29,0.18304984271526337,0.23059463500976562,0.17029854655265808,1,11237
30,0.16799712181091309,0.23586544394493103,0.17208394408226013,1,10978
31,0.15017914772033691,0.2409873753786087,0.16428902745246887,0,10588
32,0.13537323474884033,0.2523610293865204,0.15538686513900757,0,10202
33,0.37238016724586487,0.2600686848163605,0.12282668799161911,1,14192
34,0.34305331110954285,0.28276991844177246,0.1481092870235443,1,13287
35,0.31637126207351685,0.3033742904663086,0.16734609007835388,1,12770
36,0.2913435399532318,0.31700846552848816,0.18173764646053314,1,12383
37,0.27039653062820435,0.3259947896003723,0.18735329806804657,1,12125
38,0.24818933010101318,0.33653467893600464,0.18702852725982666,0,11737
39,0.22740444540977478,0.3348064422607422,0.1821044534444809,1,11480
40,0.20842891931533813,0.33168792724609375,0.1732068806886673,0,11094
41,0.18813931941986084,0.31540995836257935,0.16530880331993103,0,10838
42,0.17377857863903046,0.29624879360198975,0.16043150424957275,0,10710
43,0.15404558181762695,0.27016857266426086,0.15628071129322052,0,10453
44,-0.48014894127845764,0.31430983543395996,0.0931309163570404,0,28114
45,-0.44478821754455566,0.36335235834121704,0.14253562688827515,0,28536
46,-0.3913753926753998,0.4057578146457672,0.1788126826286316,0,28821
47,-0.3132385015487671,0.42621755599975586,0.2235070765018463,1,29084
48,-0.2503633499145508,0.4157635569572449,0.25914841890335083,1,29267
49,-0.18303807079792023,0.3929945230484009,0.28119903802871704,1,29411
50,-0.13172057271003723,0.369201123714447,0.29006579518318176,1,29550
51,-0.44095322489738464,0.33853879570961,0.16072890162467957,0,2322
52,-0.39152103662490845,0.36096638441085815,0.21050436794757843,0,3355
53,-0.32777565717697144,0.3445531725883484,0.24039648473262787,1,4259
54,-0.25245851278305054,0.33891093730926514,0.2497280389070511,1,5161
55,-0.1943637877702713,0.3343457579612732,0.24390909075737,1,5806
56,-0.1265714168548584,0.335122674703598,0.2537614703178406,1,6441
57,0.5075377225875854,0.34262916445732117,0.06792692840099335,1,31796
58,0.47714465856552124,0.38593584299087524,0.12204021215438843,1,31376
59,0.4179011881351471,0.4358586072921753,0.1677495688199997,1,31055
60,0.3393859267234802,0.4600487947463989,0.21275974810123444,1,30787
61,0.2597214877605438,0.44473427534103394,0.2603152394294739,1,30571
62,0.1817186325788498,0.41844359040260315,0.2840054929256439,1,30427
63,0.11827608942985535,0.39511004090309143,0.29509538412094116,1,30288
64,0.4605666399002075,0.35694193840026855,0.1529385894536972,1,14044
65,0.4061652421951294,0.3807850480079651,0.20316964387893677,1,13013
66,0.3307822346687317,0.3773721158504486,0.2451210469007492,1,11981
67,0.2552681565284729,0.35583066940307617,0.2523837685585022,1,11078
68,0.18422502279281616,0.3478259742259979,0.2520159184932709,1,10432
69,0.1128171905875206,0.3385012745857239,0.26437196135520935,1,9808
70,-0.25589367747306824,-0.2684303820133209,0.20261457562446594,1,5522
71,-0.2312459498643875,-0.2550874948501587,0.21998745203018188,1,5518
72,-0.200943723320961,-0.24968944489955902,0.24289023876190186,0,5514
73,-0.17580446600914001,-0.23672664165496826,0.26772812008857727,0,5769
74,-0.15411591529846191,-0.22411468625068665,0.28549760580062866,0,6025
75,-0.12925371527671814,-0.21245935559272766,0.3010450005531311,1,6279
76,-0.09754476696252823,-0.2037791907787323,0.31838712096214294,1,6772
77,-0.061149243265390396,-0.20793329179286957,0.3354036808013916,1,7495
78,-0.017187444493174553,-0.22641970217227936,0.33899828791618347,1,8215
79,0.029787510633468628,-0.21181729435920715,0.3398055136203766,1,8935
80,0.056424833834171295,-0.21452736854553223,0.33879354596138,1,9655
81,0.08301928639411926,-0.22573284804821014,0.3271433711051941,1,10141
82,0.10363998264074326,-0.23957282304763794,0.31086575984954834,1,10395
83,0.12106416374444962,-0.2525721788406372,0.29604849219322205,0,10654
84,0.14669790863990784,-0.26519620418548584,0.2727329730987549,0,10915
85,0.17070001363754272,-0.2683689594268799,0.255479097366333,0,10919
86,0.18388888239860535,-0.2842390835285187,0.2366846203804016,1,10795
87,-0.23268622159957886,-0.26808005571365356,0.20589742064476013,0,5909
88,-0.21291980147361755,-0.26638418436050415,0.2177261859178543,0,5906
89,-0.18400733172893524,-0.261880487203598,0.23711034655570984,0,6162
90,-0.15860503911972046,-0.2581796646118164,0.25702330470085144,0,6415
91,-0.13331949710845947,-0.25511831045150757,0.2678786516189575,0,6782
92,-0.10706513375043869,-0.25694894790649414,0.276035338640213,0,7145
93,-0.07844876497983932,-0.2588883340358734,0.28180861473083496,0,7505
94,-0.04981891065835953,-0.26174142956733704,0.28558892011642456,0,7865
95,-0.024320656433701515,-0.2610212564468384,0.2882746458053589,0,8225
96,0.0014704447239637375,-0.26315319538116455,0.29039931297302246,0,8585
97,0.026521988213062286,-0.2629249393939972,0.2889622151851654,0,8945
98,0.050984978675842285,-0.26092880964279175,0.28439798951148987,0,9305
99,0.07381416857242584,-0.2628690004348755,0.2786770462989807,0,9665
100,0.09674675762653351,-0.2682591676712036,0.2712734639644623,0,10028
