landmark_id,x_px,y_px,visible,vertex_index
0,216.16275024414062,518.4688110351562,1,16743
1,232.9521484375,556.3209838867188,1,16876
2,245.4207763671875,593.8360595703125,0,16885
3,255.2970733642578,628.6589965820312,0,16893
4,265.29541015625,661.03076171875,0,16652
5,272.5776062011719,691.5587158203125,0,16279
6,284.33416748046875,731.2489624023438,0,16262
7,294.1404724121094,773.498779296875,0,16304
8,303.732666015625,812.1527099609375,0,32151
9,316.6481018066406,848.2651977539062,0,32511
10,338.2442932128906,879.106689453125,0,32829
11,374.66387939453125,904.9614868164062,0,33141
12,421.9822998046875,928.3557739257812,1,33400
13,466.3011169433594,949.6336059570312,0,33586
14,504.59051513671875,967.7608032226562,1,33704
15,551.0709228515625,977.522216796875,0,33794
16,575.8369750976562,974.3473510742188,1,33838
17,599.134521484375,973.9197998046875,1,33884
18,643.015869140625,954.9388427734375,1,33973
19,674.317138671875,934.8101806640625,0,34097
20,711.9159545898438,903.5001220703125,0,34290
21,750.0713500976562,873.2388916015625,0,34561
22,778.182861328125,843.7994995117188,0,34879
23,799.6823120117188,816.0405883789062,0,35202
24,812.0265502929688,778.3961791992188,0,35613
25,817.3567504882812,739.8033447265625,0,27801
26,819.5675048828125,698.0291137695312,0,27813
27,825.3237915039062,657.0192260742188,0,27709
28,829.0906372070312,624.0822143554688,0,27447
29,838.0458984375,587.1279907226562,0,27083
30,840.34619140625,551.6795043945312,0,27075
31,846.1197509765625,516.0630493164062,0,27196
32,855.4185180664062,475.0194396972656,0,27314
33,297.3621826171875,437.4300842285156,1,28111
34,340.7783508300781,394.28521728515625,1,28787
35,400.69036865234375,376.42095947265625,1,29177
36,451.2203674316406,377.3038330078125,1,29382
37,489.2168273925781,395.244140625,1,29549
38,483.1797180175781,410.7233581542969,1,29526
39,440.5782165527344,414.1260986328125,1,5547
40,391.34100341796875,407.19403076171875,1,4515
41,334.6740417480469,411.7972106933594,1,2967
42,610.446044921875,387.8399353027344,1,30288
43,648.239990234375,368.58447265625,1,30454
44,698.0372314453125,361.3177185058594,1,30662
45,756.6756591796875,368.371826171875,0,31056
46,801.668212890625,405.2925720214844,0,31716
47,759.7177734375,387.9553527832031,1,13141
48,704.4007568359375,393.9018859863281,1,11593
49,662.031982421875,401.9952697753906,1,30488
50,618.7603759765625,403.9142761230469,1,30318
51,557.3980102539062,449.10272216796875,1,8161
52,559.0672607421875,484.76068115234375,1,8174
53,561.5347900390625,533.68017578125,1,8185
54,563.85693359375,562.8629760742188,1,8190
55,523.8726196289062,471.17523193359375,1,7082
56,508.2342834472656,560.09033203125,1,6743
57,489.05255126953125,600.8355102539062,0,5485
58,517.2083129882812,636.9048461914062,1,6637
59,555.34375,626.2623901367188,1,7842
60,570.2656860351562,637.505615234375,1,8204
61,580.3920288085938,627.7289428710938,1,8562
62,613.1370849609375,634.3754272460938,1,9762
63,635.62890625,599.4908447265625,1,10886
64,611.5242309570312,558.54296875,0,9626
65,589.2998046875,470.02447509765625,1,9242
66,363.8642883300781,471.8790588378906,1,2215
67,396.3507385253906,438.9881286621094,1,3888
68,420.31207275390625,425.4212646484375,0,4661
69,447.2752685546875,440.55487060546875,0,5439
70,476.2741394042969,464.239990234375,1,6215
71,455.8389892578125,473.8515625,1,5191
72,424.03643798828125,477.6553955078125,1,4416
73,394.53033447265625,479.64508056640625,0,3642
74,426.1330261230469,446.9833984375,1,4666
75,627.4271850585938,453.3648376464844,1,10077
76,659.3942260742188,431.1488037109375,1,10969
77,681.1473388671875,416.7574157714844,0,11610
78,707.0509033203125,427.2418518066406,1,12514
79,739.56005859375,447.9733581542969,0,14066
80,713.9069213867188,462.5848083496094,1,12784
81,683.3623046875,465.6240539550781,1,11881
82,657.1104736328125,463.9387512207031,1,11236
83,673.090576171875,440.114501953125,1,11487
84,453.7392883300781,764.0206909179688,1,5522
85,499.66162109375,724.997314453125,1,6025
86,545.7230224609375,704.3115844726562,1,7495
87,568.787841796875,710.0493774414062,1,8215
88,593.8587036132812,702.7677612304688,1,8935
89,634.5499267578125,722.1061401367188,1,10395
90,682.499755859375,749.7135009765625,1,10795
91,635.7529907226562,766.60693359375,1,9555
92,605.4412231445312,777.6876220703125,1,8836
93,571.9281616210938,783.2799682617188,1,8236
94,536.2445068359375,783.763671875,1,7636
95,502.5790710449219,776.0094604492188,1,6915
96,465.8925476074219,763.2152709960938,0,5909
97,538.1730346679688,738.931640625,1,7384
98,569.9369506835938,731.4887084960938,1,8223
99,601.23095703125,733.1839599609375,1,9064
100,673.327880859375,748.4535522460938,1,10537
101,602.4121704101562,740.9257202148438,0,8829
102,572.0326538085938,744.9662475585938,1,8229
103,538.3175048828125,748.38525390625,1,7629
104,423.1060485839844,451.87139892578125,1,4538
105,680.539306640625,440.9535827636719,1,11745
