landmark_id,x,y,z
0,-0.51922917,0.39723092,0.34952366
1,-0.45746565,0.37184399,0.38049403
2,-0.41559920,0.36772713,0.39568147
3,-0.36868814,0.36594275,0.40442741
4,-0.33292702,0.36763692,0.40501621
5,-0.29639608,0.37085333,0.39538676
6,-0.24108630,0.37665677,0.38284016
7,-0.21093342,0.38841575,0.37501168
8,-0.18343394,0.39359546,0.36794704
9,-0.16380738,0.40701935,0.33426058
10,-0.14266481,0.43068177,0.30652413
11,-0.56840187,0.40246189,0.35151604
12,-0.50064307,0.44325751,0.39288989
13,-0.45476314,0.48892453,0.42930776
14,-0.40551084,0.51877195,0.44378066
15,-0.35755917,0.55158418,0.44248274
16,-0.32581252,0.56185526,0.43471307
17,-0.28501979,0.56196338,0.41255933
18,-0.25423014,0.55754328,0.39128631
19,-0.23773278,0.53291273,0.36962357
20,-0.21128678,0.49051616,0.34756047
21,-0.18368919,0.46528772,0.32742766
22,0.64994776,0.41928798,-0.03888388
23,0.62926549,0.38326669,0.01958475
24,0.58707321,0.36878240,0.05837529
25,0.55347174,0.36363533,0.09344758
26,0.52569509,0.36198452,0.11274538
27,0.49365506,0.37089211,0.13015838
28,0.45602816,0.37800020,0.14289287
29,0.40231657,0.38632217,0.14914648
30,0.37778294,0.40096468,0.15381101
31,0.34567836,0.41693577,0.15064827
32,0.32046393,0.44855857,0.14462815
33,0.68298399,0.43594995,-0.02747685
34,0.65612870,0.47188804,0.02116012
35,0.62681490,0.50147778,0.06453714
36,0.59535843,0.52656513,0.09857363
37,0.56781870,0.54049319,0.12020757
38,0.54061866,0.55629623,0.14562015
39,0.51198244,0.55399036,0.15195313
40,0.48280716,0.55111760,0.15206932
41,0.44268459,0.52938235,0.15059942
42,0.41027462,0.50204170,0.14783950
43,0.36686522,0.46676406,0.14437941
44,-0.77255309,0.51555049,0.36185527
45,-0.68375778,0.60922092,0.43764085
46,-0.56723088,0.68208575,0.47847903
47,-0.41017303,0.72896081,0.51672256
48,-0.28347069,0.71706754,0.54724616
49,-0.15114555,0.67970538,0.55350012
50,-0.05413026,0.62562066,0.53618467
51,-0.66800910,0.56820774,0.46316436
52,-0.55320662,0.62597185,0.52618849
53,-0.42369521,0.60569930,0.55087054
54,-0.28165776,0.59338540,0.53985417
55,-0.18413405,0.57638204,0.49479878
56,-0.06229864,0.57220954,0.47093186
57,0.84801412,0.55198377,-0.15791103
58,0.82748133,0.62199086,-0.04394726
59,0.74502969,0.70947361,0.07137285
60,0.63877529,0.74411207,0.18699533
61,0.54317069,0.70639789,0.30217075
62,0.43429404,0.66545898,0.37743276
63,0.33280823,0.63873178,0.42606115
64,0.81755006,0.57782400,0.00320110
65,0.75583971,0.62144220,0.12222032
66,0.65530521,0.60851336,0.23348182
67,0.53988349,0.56878018,0.27554646
68,0.42814311,0.55881870,0.30852979
69,0.31490529,0.54064882,0.35832056
70,-0.23965746,-0.50656080,0.46554759
71,-0.19911726,-0.48515561,0.46907252
72,-0.14814559,-0.47385582,0.49025008
73,-0.10264072,-0.44855192,0.51888341
74,-0.05974104,-0.42730662,0.53711671
75,-0.00936376,-0.40723541,0.55412233
76,0.04520300,-0.39507532,0.56613630
77,0.09999406,-0.40632969,0.57752240
78,0.16921593,-0.43704754,0.55741209
79,0.24175233,-0.41343763,0.53520542
80,0.27405876,-0.41906393,0.51149023
81,0.30978122,-0.43723968,0.47517985
82,0.33537602,-0.46146181,0.43194598
83,0.35593739,-0.48021296,0.39118689
84,0.38671321,-0.49728373,0.33720407
85,0.42396718,-0.50683659,0.29523343
86,0.45244566,-0.53684825,0.25769117
87,-0.20523058,-0.50530607,0.45064467
88,-0.17702678,-0.50567991,0.44823512
89,-0.12296676,-0.49595380,0.46290278
90,-0.07282493,-0.48772347,0.48501500
91,-0.03027448,-0.47815469,0.48932797
92,0.01309767,-0.47576863,0.48764804
93,0.05843218,-0.47956273,0.47903186
94,0.10523262,-0.48841423,0.47072160
95,0.14509854,-0.48943201,0.46137908
96,0.18182507,-0.48826262,0.44683117
97,0.21885413,-0.48594853,0.42549691
98,0.25521746,-0.48358929,0.40616119
99,0.28512245,-0.49413306,0.38344195
100,0.31231111,-0.51000530,0.36008611
101,0.34440163,-0.52077454,0.32558358
102,0.38359818,-0.52018845,0.29206178
103,0.42885166,-0.53136390,0.26614723
104,-0.20633404,-0.51057804,0.45198709
105,-0.17654788,-0.50902110,0.45076385
106,-0.13158400,-0.49317345,0.46859714
107,-0.08709369,-0.47313520,0.48334208
108,-0.01804747,-0.45508453,0.51134968
109,0.04502962,-0.45069560,0.52293503
110,0.10481143,-0.45396420,0.52845562
111,0.16723144,-0.45624772,0.51797473
112,0.21737367,-0.45179939,0.49359152
113,0.26885703,-0.45126000,0.46293429
114,0.31394750,-0.47231266,0.41885886
115,0.35569367,-0.50323594,0.35857818
116,0.38011292,-0.52327353,0.32142314
117,0.40831381,-0.53580713,0.28780216
