landmark_id,x_px,y_px,visible,vertex_index
0,311.19287109375,544.0200805664062,0,2476
1,322.4690856933594,549.562255859375,1,3124
2,331.2289733886719,548.6998291015625,0,3513
3,342.46051025390625,547.371826171875,1,3900
4,351.90948486328125,545.6356811523438,1,4158
5,362.93927001953125,543.5880126953125,1,4417
6,379.34234619140625,540.7636108398438,1,4805
7,388.275634765625,537.2474975585938,1,5062
8,396.65447998046875,535.6533813476562,1,5320
9,404.8117980957031,531.7528076171875,1,5704
10,412.9093017578125,524.787841796875,0,6216
11,301.786865234375,543.2691650390625,0,1955
12,311.53033447265625,529.269287109375,1,2985
13,318.4222717285156,515.2979736328125,1,3499
14,328.6160583496094,505.03240966796875,1,3886
15,340.2155456542969,494.5295715332031,0,4272
16,348.4042663574219,491.03948974609375,0,4530
17,360.1488037109375,490.81121826171875,0,4918
18,370.13726806640625,492.1054382324219,0,5306
19,377.2744140625,497.8872985839844,1,5437
20,387.86444091796875,509.6029052734375,1,5568
21,398.3283386230469,516.2613525390625,1,5826
22,659.7427978515625,504.8774108886719,1,14197
23,648.9669799804688,512.86962890625,0,13298
24,633.9237670898438,517.7859497070312,0,12784
25,621.3472900390625,520.0414428710938,1,12397
26,611.7929077148438,521.17724609375,0,12140
27,601.4552612304688,519.9484252929688,1,11881
28,590.0817260742188,519.3837890625,1,11623
29,575.4802856445312,519.4280395507812,1,11237
30,568.461181640625,516.7676391601562,1,10978
31,560.14599609375,513.9483032226562,0,10588
32,552.7789916992188,506.6047058105469,1,10202
33,667.291748046875,496.6726989746094,0,14192
34,653.0097045898438,486.57366943359375,1,13287
35,639.9371948242188,477.6361999511719,1,12770
36,627.1640014648438,471.62078857421875,1,12383
37,616.7216186523438,467.7939147949219,1,12125
38,606.2555541992188,463.8041687011719,0,11737
39,597.7255249023438,465.38519287109375,0,11480
40,590.5437622070312,467.9375,0,11094
41,581.5841064453125,476.2157897949219,1,10838
42,574.6651611328125,486.2342224121094,1,10710
43,565.0744018554688,499.4632873535156,1,10453
44,247.51913452148438,523.085693359375,1,28114
45,258.72698974609375,494.6202697753906,0,28536
46,282.3459167480469,471.5271301269531,1,28821
47,320.3402099609375,448.927978515625,1,29084
48,351.8221740722656,447.0152587890625,1,29267
49,386.76202392578125,450.177734375,1,29411
50,414.1041564941406,460.02490234375,1,29550
51,261.5137939453125,504.1352233886719,1,2322
