landmark_id,x,y,z,visible,vertex_index,confidence
0,-1.217911958694458,0.42923057079315186,-0.6785423159599304,0,16743,0.0
1,-1.1662038564682007,0.2742200791835785,-0.7278534770011902,0,16876,0.0
2,-1.141523838043213,0.1208047866821289,-0.7561984658241272,0,16885,0.0
3,-1.1161226034164429,-0.023181596770882607,-0.7507532238960266,0,16893,0.0
4,-1.0755258798599243,-0.16060635447502136,-0.7693331241607666,0,16652,0.0
5,-1.0193854570388794,-0.3155461549758911,-0.7907635569572449,0,16279,0.0
6,-0.968088686466217,-0.44614750146865845,-0.7544180154800415,0,16262,0.0
7,-0.9181102514266968,-0.587074875831604,-0.6964341998100281,0,16304,0.0
8,-0.8636618852615356,-0.7170007228851318,-0.6399124264717102,0,32151,0.0
9,-0.7995059490203857,-0.8418826460838318,-0.5382454991340637,0,32511,0.0
10,-0.7164512872695923,-0.9437424540519714,-0.44626471400260925,0,32829,0.0
11,-0.603234052658081,-1.039093255996704,-0.2796129882335663,0,33141,0.0
12,-0.455169677734375,-1.1150741577148438,-0.13834622502326965,0,33400,0.0
13,-0.30323949456214905,-1.1716241836547852,-0.0054002427496016026,0,33586,0.0
14,-0.16358081996440887,-1.2125526666641235,0.09397738426923752,0,33704,0.0
15,-0.015013904310762882,-1.237695574760437,0.10948431491851807,0,33794,0.0
16,0.0637747123837471,-1.2317397594451904,0.13283053040504456,0,33838,0.0
17,0.1330520510673523,-1.2313978672027588,0.09698370844125748,0,33884,0.0
18,0.27412840723991394,-1.1764752864837646,0.07360117882490158,1,33973,1.0
19,0.3653167188167572,-1.1222808361053467,-0.08795912563800812,1,34097,1.0
20,0.4767495393753052,-1.0295029878616333,-0.22461865842342377,1,34290,1.0
21,0.5884548425674438,-0.931037425994873,-0.3952539563179016,1,34561,1.0
22,0.6620904207229614,-0.8129645586013794,-0.5430601835250854,1,34879,1.0
23,0.721367597579956,-0.6973749399185181,-0.6505326628684998,1,35202,1.0
24,0.7709205150604248,-0.5576463341712952,-0.7411726117134094,1,35613,1.0
25,0.8033912181854248,-0.4230147898197174,-0.8038232326507568,1,27801,1.0
26,0.8252385258674622,-0.277092844247818,-0.8698568940162659,1,27813,1.0
27,0.8550006747245789,-0.13460010290145874,-0.9153084754943848,1,27709,1.0
28,0.8792319297790527,-0.00047705357428640127,-0.9503669738769531,1,27447,1.0
29,0.9139846563339233,0.1293027549982071,-0.9215530157089233,1,27083,1.0
30,0.9230245351791382,0.2587467133998871,-0.9264825582504272,1,27075,1.0
31,0.9502110481262207,0.3890802264213562,-0.9245297312736511,1,27196,1.0
32,0.9972188472747803,0.5354867577552795,-0.8869888186454773,1,27314,1.0
33,-0.8655238747596741,0.6137285828590393,0.15779352188110352,0,28111,0.0
34,-0.719517171382904,0.8079989552497864,0.2801305651664734,0,28787,0.0
35,-0.5348228216171265,0.8488646149635315,0.401894748210907,0,29177,0.0
36,-0.37869885563850403,0.8207427263259888,0.48030886054039,0,29382,0.0
37,-0.25063955783843994,0.7627615332603455,0.5161076188087463,1,29549,1.0
38,-0.25590765476226807,0.6890114545822144,0.5009280443191528,0,29526,0.0
39,-0.38924440741539,0.6841825246810913,0.47960466146469116,0,5547,0.0
40,-0.5589881539344788,0.7243258953094482,0.44900184869766235,0,4515,0.0
41,-0.7427676320075989,0.6994038224220276,0.3355396091938019,0,2967,0.0
42,0.2808409333229065,0.7783006429672241,0.4483591616153717,0,30288,0.0
43,0.4046812951564789,0.8386275768280029,0.3862322270870209,1,30454,1.0
44,0.5553452968597412,0.87223219871521,0.2773861289024353,1,30662,1.0
45,0.7188498973846436,0.8380913138389587,0.11821124702692032,1,31056,1.0
46,0.8414869904518127,0.6631459593772888,-0.04813014343380928,1,31716,1.0
47,0.7326918244361877,0.7331411838531494,0.16787783801555634,1,13141,1.0
48,0.5734033584594727,0.7470729947090149,0.31904810667037964,1,11593,1.0
49,0.4288519620895386,0.719402015209198,0.37964922189712524,1,30488,1.0
50,0.29900071024894714,0.7175374627113342,0.4363851845264435,1,30318,1.0
51,0.04987321421504021,0.38823771476745605,0.4939696192741394,1,8161,1.0
52,0.060848381370306015,0.24267679452896118,0.5878968238830566,1,8174,1.0
53,0.08200528472661972,0.06913948059082031,0.6952401399612427,1,8185,1.0
54,0.10217130184173584,-0.04134783148765564,0.7640330195426941,1,8190,1.0
55,-0.07948219776153564,0.31455105543136597,0.40864869952201843,0,7082,0.0
56,-0.10126551240682602,-0.00924687273800373,0.5536240935325623,0,6743,0.0
57,-0.15156584978103638,-0.14082953333854675,0.4389760494232178,0,5485,0.0
58,-0.05518914386630058,-0.2525929808616638,0.5253910422325134,0,6637,0.0
59,0.04734479635953903,-0.25548428297042847,0.5941980481147766,0,7842,0.0
60,0.09696684032678604,-0.29376769065856934,0.5824101567268372,1,8204,1.0
61,0.13155750930309296,-0.25133016705513,0.5786300301551819,1,8562,1.0
62,0.21906593441963196,-0.24226729571819305,0.4708622395992279,1,9762,1.0
63,0.28323081135749817,-0.12056586146354675,0.36895644664764404,1,10886,1.0
64,0.23778174817562103,0.0019570982549339533,0.502335250377655,1,9626,1.0
65,0.15588966012001038,0.32372334599494934,0.3790486454963684,1,9242,1.0
66,-0.6027049422264099,0.3737213909626007,0.24285277724266052,0,2215,0.0
67,-0.49956753849983215,0.4208771288394928,0.34551331400871277,0,3888,0.0
68,-0.42057597637176514,0.444566547870636,0.37724384665489197,0,4661,0.0
69,-0.3274136185646057,0.4218829572200775,0.34556254744529724,0,5439,0.0
70,-0.24706676602363586,0.3705018162727356,0.28764304518699646,0,6215,0.0
71,-0.31956946849823,0.33764490485191345,0.3279213607311249,0,5191,0.0
72,-0.40280091762542725,0.327879935503006,0.3335045576095581,0,4416,0.0
73,-0.49090683460235596,0.32434847950935364,0.31083205342292786,0,3642,0.0
74,-0.3993794620037079,0.39694318175315857,0.363481730222702,0,4666,0.0
75,0.2577536106109619,0.39706286787986755,0.2286979854106903,0,10077,0.0
76,0.35900014638900757,0.4443983733654022,0.26476749777793884,0,10969,0.0
77,0.443022221326828,0.4791952967643738,0.2566739022731781,0,11610,0.0
78,0.5332896113395691,0.46064046025276184,0.19814574718475342,1,12514,1.0
79,0.6182997226715088,0.4220646917819977,0.07460781186819077,0,14066,0.0
80,0.5287506580352783,0.36730605363845825,0.16113324463367462,1,12784,1.0
81,0.4313681125640869,0.35990002751350403,0.21523573994636536,1,11881,1.0
82,0.35270366072654724,0.3716745674610138,0.23300190269947052,0,11236,0.0
83,0.40774789452552795,0.4235667288303375,0.2521030306816101,0,11487,0.0
84,-0.2330644428730011,-0.641627848148346,0.39089256525039673,0,5522,0.0
85,-0.09890298545360565,-0.5319551825523376,0.5146046876907349,0,6025,0.0
86,0.04066956415772438,-0.4745766520500183,0.5578873753547668,0,7495,0.0
87,0.11104614287614822,-0.4894256591796875,0.5571944713592529,0,8215,0.0
88,0.17179103195667267,-0.4642741084098816,0.5380468964576721,1,8935,1.0
89,0.28205737471580505,-0.503645658493042,0.45016151666641235,1,10395,1.0
90,0.37053021788597107,-0.5854688882827759,0.2908404767513275,0,10795,0.0
91,0.28779345750808716,-0.6449924111366272,0.41685473918914795,1,9555,1.0
92,0.20773234963417053,-0.6990258693695068,0.46680763363838196,1,8836,1.0
93,0.10588103532791138,-0.7158938050270081,0.49382466077804565,1,8236,1.0
94,-0.004335565026849508,-0.7131308317184448,0.5014479160308838,0,7636,0.0
95,-0.11050035804510117,-0.6787657141685486,0.47945931553840637,0,6915,0.0
96,-0.20465755462646484,-0.6249517202377319,0.4030318558216095,0,5909,0.0
97,0.012229536660015583,-0.5738360285758972,0.4907741844654083,0,7384,0.0
98,0.10095784068107605,-0.5690411925315857,0.49336346983909607,0,8223,0.0
99,0.18185488879680634,-0.5608315467834473,0.46458038687705994,1,9064,1.0
100,0.35646966099739075,-0.5766127109527588,0.3047480583190918,0,10537,0.0
101,0.1824953705072403,-0.5833355188369751,0.4544908404350281,1,8829,1.0
102,0.10348420590162277,-0.5979040265083313,0.4822082221508026,0,8229,0.0
103,0.005050546955317259,-0.6000444889068604,0.48378098011016846,0,7629,0.0
104,-0.4084210991859436,0.38612666726112366,0.3607521057128906,0,4538,0.0
105,0.43428677320480347,0.4219015836715698,0.24424201250076294,1,11745,1.0
