photo_id,date,same_date_sequence,pose_bin,pitch,yaw,roll,source_filename,source_relative_path,date_provenance_status,exif_date,date_delta_days,source_claimed_date,source_claimed_delta_days,date_conflict_sources,source_provenance_status,source_url,archive_url,perceptual_dhash,near_duplicate_of,geometry_status,segmentation_status,uv_status,combined_visible_fraction,skin_mask_coverage,uv_observed_coverage,chronology_index_global,chronology_index_in_pose
2013_11_12__423417d8314f,2013-11-12,1,right_profile,28.768503189086914,66.49915313720703,1.7495572566986084,2013_11_12.jpg,2013_11_12.jpg,filename_only,,,,,[],not_provided,,,a4060b1f3e36368e,,valid,valid,valid,0.4788148645999608,0.1916859375,0.798035,889,130
2013_11_14__aaef6cdabf68,2013-11-14,1,left_profile,13.573391914367676,-69.1509017944336,-0.8224802613258362,2013_11_14.jpg,2013_11_14.jpg,filename_only,,,,,[],not_provided,,,880080d4c0c07031,,valid,valid,valid,0.48864431935926517,0.213196875,0.798035,890,131
2013_11_21__01cb10aa4118,2013-11-21,1,left_light,19.096952438354492,-12.948421478271484,0.3415955603122711,2013_11_21.jpg,2013_11_21.jpg,filename_only,,,,,[],not_provided,,,9d1e96fb8fcfce6c,,valid,valid,valid,0.6364781987734185,0.2900375,0.798035,891,118
2013_11_22__d64d6e76c3c1,2013-11-22,1,left_mid,15.213871955871582,-25.774906158447266,0.3431399464607239,2013_11_22.jpg,2013_11_22.jpg,filename_only,,,,,[],not_provided,,,1e91810949434327,,valid,valid,valid,0.6051975692402476,0.2775671875,0.798035,892,54
2013_11_28__5d90b71f3791,2013-11-28,1,left_profile,-31.466772079467773,-84.25892639160156,62.31047439575195,2013_11_28.jpg,2013_11_28.jpg,filename_only,,,,,[],not_provided,,,7667634349090307,,valid,valid,valid,0.4513708028788261,0.2095375,0.798035,893,132
2013_12_02__353aa2aeb8ff,2013-12-02,1,left_profile,7.80410099029541,-67.94630432128906,-8.867637634277344,2013_12_02.jpg,2013_12_02.jpg,filename_only,,,,,[],not_provided,,,cd998393a4c1c70d,,valid,valid,valid,0.48452771010109497,0.2144671875,0.798035,894,133
2013_12_02_2__580079d7fd82,2013-12-02,2,frontal,5.816952228546143,6.284277439117432,0.06839857995510101,2013_12_02 (2).jpg,2013_12_02 (2).jpg,filename_only,,,,,[],not_provided,,,dad2f4eaeaf2f439,,valid,valid,valid,0.6713993671063317,0.33865,0.798035,895,282
2013_12_03__51ab6537e008,2013-12-03,1,left_light,14.65406608581543,-12.701081275939941,-12.027180671691895,2013_12_03.jpg,2013_12_03.jpg,filename_only,,,,,[],not_provided,,,5e4d1c3c3cbdb9fb,,valid,valid,valid,0.65188047831079,0.3371734375,0.798035,896,119
2013_12_05__4f41b9e79982,2013-12-05,1,right_profile,0.039493218064308167,65.45769500732422,1.4407875537872314,2013_12_05.jpg,2013_12_05.jpg,filename_only,,,,,[],not_provided,,,e7332e761e3e3d1f,,valid,valid,valid,0.500938138844549,0.323140625,0.798035,897,131
2013_12_16__664246a30ad2,2013-12-16,1,frontal,14.709233283996582,9.164568901062012,0.3320695757865906,2013_12_16.jpg,2013_12_16.jpg,filename_only,,,,,[],not_provided,,,2c25c3d5d7061d5b,,valid,valid,valid,0.6516564451538828,0.294275,0.798035,898,283
2013_12_19__9a2c273a2b2c,2013-12-19,1,right_profile,-0.46578899025917053,59.60850524902344,-21.389074325561523,2013_12_19.jpg,2013_12_19.jpg,filename_only,,,,,[],not_provided,,,969a3b1e7e3c3c98,,valid,valid,valid,0.5104315438684925,0.266796875,0.798035,899,132
2013_12_24__0e8d73cfabce,2013-12-24,1,frontal,6.885200500488281,5.788383483886719,-0.2649005353450775,2013_12_24.jpg,2013_12_24.jpg,filename_only,,,,,[],not_provided,,,0c7673bbab9397cf,,valid,valid,valid,0.6816488840348371,0.27765,0.798035,900,284
2013_12_31__9def342458fe,2013-12-31,1,left_deep,17.879484176635742,-49.178443908691406,-1.4167085886001587,2013_12_31.jpg,2013_12_31.jpg,filename_only,,,,,[],not_provided,,,3e2c090d8dc56515,,valid,valid,valid,0.5371194936850654,0.2466484375,0.798035,901,31
