zone_code,yaw_bin_center_deg,pose_bin,status,weight,visible_fraction,convention
A10,-32.5,left_mid,primary,1.000,1.000,v3_positive_is_right
A10,-17.5,left_light,primary,1.000,1.000,v3_positive_is_right
A10,0.0,frontal,primary,0.796,0.796,v3_positive_is_right
A10,17.5,right_light,support,0.464,0.464,v3_positive_is_right
A10,32.5,right_mid,limited,0.275,0.275,v3_positive_is_right
A10,45.0,right_deep,exclude,0.000,0.139,v3_positive_is_right
A10,70.0,right_profile,exclude,0.000,0.000,v3_positive_is_right
A11,-70.0,left_profile,exclude,0.000,0.148,v3_positive_is_right
A11,-45.0,left_deep,primary,0.818,0.818,v3_positive_is_right
A11,-32.5,left_mid,primary,0.892,0.892,v3_positive_is_right
A11,-17.5,left_light,primary,0.917,0.917,v3_positive_is_right
A11,0.0,frontal,primary,0.948,0.948,v3_positive_is_right
A11,17.5,right_light,primary,0.980,0.980,v3_positive_is_right
A11,32.5,right_mid,primary,0.978,0.978,v3_positive_is_right
A11,45.0,right_deep,primary,0.979,0.979,v3_positive_is_right
A11,70.0,right_profile,primary,0.976,0.976,v3_positive_is_right
A12,-70.0,left_profile,primary,0.976,0.976,v3_positive_is_right
A12,-45.0,left_deep,primary,0.979,0.979,v3_positive_is_right
A12,-32.5,left_mid,primary,0.980,0.980,v3_positive_is_right
A12,-17.5,left_light,primary,0.980,0.980,v3_positive_is_right
A12,0.0,frontal,primary,0.944,0.944,v3_positive_is_right
A12,17.5,right_light,primary,0.914,0.914,v3_positive_is_right
A12,32.5,right_mid,primary,0.889,0.889,v3_positive_is_right
A12,45.0,right_deep,primary,0.810,0.810,v3_positive_is_right
A12,70.0,right_profile,exclude,0.000,0.149,v3_positive_is_right
A13,-70.0,left_profile,exclude,0.000,0.000,v3_positive_is_right
A13,-45.0,left_deep,exclude,0.000,0.000,v3_positive_is_right
A13,-32.5,left_mid,exclude,0.000,0.013,v3_positive_is_right
A13,-17.5,left_light,limited,0.277,0.277,v3_positive_is_right
A13,0.0,frontal,support,0.671,0.671,v3_positive_is_right
A13,17.5,right_light,primary,1.000,1.000,v3_positive_is_right
A13,32.5,right_mid,primary,1.000,1.000,v3_positive_is_right
A13,45.0,right_deep,primary,1.000,1.000,v3_positive_is_right
A13,70.0,right_profile,primary,1.000,1.000,v3_positive_is_right
A14,-70.0,left_profile,primary,1.000,1.000,v3_positive_is_right
A14,-45.0,left_deep,primary,1.000,1.000,v3_positive_is_right
A14,-32.5,left_mid,primary,1.000,1.000,v3_positive_is_right
A14,-17.5,left_light,primary,1.000,1.000,v3_positive_is_right
A14,0.0,frontal,support,0.672,0.672,v3_positive_is_right
A14,17.5,right_light,limited,0.288,0.288,v3_positive_is_right
A14,32.5,right_mid,exclude,0.000,0.014,v3_positive_is_right
A14,45.0,right_deep,exclude,0.000,0.000,v3_positive_is_right
A14,70.0,right_profile,exclude,0.000,0.000,v3_positive_is_right
A15,-70.0,left_profile,exclude,0.000,0.037,v3_positive_is_right
A15,-45.0,left_deep,limited,0.312,0.312,v3_positive_is_right
A15,-32.5,left_mid,support,0.654,0.654,v3_positive_is_right
A15,-17.5,left_light,primary,0.981,0.981,v3_positive_is_right
A15,0.0,frontal,primary,0.981,0.981,v3_positive_is_right
A15,17.5,right_light,primary,0.979,0.979,v3_positive_is_right
A15,32.5,right_mid,primary,0.979,0.979,v3_positive_is_right
A15,45.0,right_deep,primary,0.979,0.979,v3_positive_is_right
A15,70.0,right_profile,primary,0.976,0.976,v3_positive_is_right
A16,-70.0,left_profile,primary,0.983,0.983,v3_positive_is_right
A16,-45.0,left_deep,primary,0.984,0.984,v3_positive_is_right
A16,-32.5,left_mid,primary,0.984,0.984,v3_positive_is_right
A16,-17.5,left_light,primary,0.984,0.984,v3_positive_is_right
A16,0.0,frontal,primary,0.985,0.985,v3_positive_is_right
A16,17.5,right_light,primary,0.985,0.985,v3_positive_is_right
A16,32.5,right_mid,support,0.655,0.655,v3_positive_is_right
A16,45.0,right_deep,limited,0.288,0.288,v3_positive_is_right
A16,70.0,right_profile,exclude,0.000,0.026,v3_positive_is_right
A17,-70.0,left_profile,exclude,0.000,0.000,v3_positive_is_right
A17,-45.0,left_deep,exclude,0.000,0.000,v3_positive_is_right
A17,-32.5,left_mid,exclude,0.000,0.000,v3_positive_is_right
A17,-17.5,left_light,limited,0.155,0.155,v3_positive_is_right
A17,0.0,frontal,support,0.554,0.554,v3_positive_is_right
A17,17.5,right_light,primary,0.993,0.993,v3_positive_is_right
A17,32.5,right_mid,primary,1.000,1.000,v3_positive_is_right
A17,45.0,right_deep,primary,1.000,1.000,v3_positive_is_right
A17,70.0,right_profile,primary,1.000,1.000,v3_positive_is_right
A18,-70.0,left_profile,primary,1.000,1.000,v3_positive_is_right
A18,-45.0,left_deep,primary,1.000,1.000,v3_positive_is_right
A18,-32.5,left_mid,primary,1.000,1.000,v3_positive_is_right
A18,-17.5,left_light,primary,0.995,0.995,v3_positive_is_right
A18,0.0,frontal,support,0.551,0.551,v3_positive_is_right
A18,17.5,right_light,limited,0.180,0.180,v3_positive_is_right
A18,32.5,right_mid,exclude,0.000,0.000,v3_positive_is_right
A18,45.0,right_deep,exclude,0.000,0.000,v3_positive_is_right
A18,70.0,right_profile,exclude,0.000,0.000,v3_positive_is_right
A19,-70.0,left_profile,support,0.587,0.587,v3_positive_is_right
A19,-45.0,left_deep,primary,0.775,0.775,v3_positive_is_right
A19,-32.5,left_mid,primary,0.928,0.928,v3_positive_is_right
A19,-17.5,left_light,primary,0.991,0.991,v3_positive_is_right
A19,0.0,frontal,primary,0.991,0.991,v3_positive_is_right
A19,17.5,right_light,primary,0.991,0.991,v3_positive_is_right
A19,32.5,right_mid,primary,0.928,0.928,v3_positive_is_right
A19,45.0,right_deep,primary,0.768,0.768,v3_positive_is_right
A19,70.0,right_profile,support,0.586,0.586,v3_positive_is_right
A20,-70.0,left_profile,support,0.523,0.523,v3_positive_is_right
A20,-45.0,left_deep,support,0.572,0.572,v3_positive_is_right
A20,-32.5,left_mid,support,0.600,0.600,v3_positive_is_right
A20,-17.5,left_light,primary,0.719,0.719,v3_positive_is_right
A20,0.0,frontal,primary,0.907,0.907,v3_positive_is_right
A20,17.5,right_light,primary,0.705,0.705,v3_positive_is_right
A20,32.5,right_mid,support,0.582,0.582,v3_positive_is_right
A20,45.0,right_deep,support,0.554,0.554,v3_positive_is_right
A20,70.0,right_profile,support,0.503,0.503,v3_positive_is_right
