landmark_id,x,y,z
0,-0.04603921,0.39372668,0.63917392
1,0.01042382,0.36909157,0.61372590
2,0.04299082,0.35671034,0.58983523
3,0.07477462,0.34688875,0.55716747
4,0.09394515,0.34293872,0.53089374
5,0.11186723,0.33566567,0.50556380
6,0.12821367,0.32847476,0.46023542
7,0.13391574,0.33901373,0.43007600
8,0.13970102,0.34250706,0.40450788
9,0.13457963,0.35588789,0.36090332
10,0.12761505,0.36783391,0.32639837
11,-0.06825022,0.41428459,0.66638511
12,-0.00026703,0.43525216,0.64742965
13,0.05201643,0.46019405,0.63126409
14,0.08791932,0.47559920,0.60253847
15,0.12108196,0.49319336,0.56879264
16,0.13608921,0.49548024,0.54039061
17,0.14622390,0.48505986,0.49426547
18,0.15312476,0.47851324,0.45323589
19,0.14857429,0.45824564,0.42526469
20,0.14412431,0.43058252,0.39027062
21,0.14598586,0.40962002,0.35719451
22,0.36765739,0.42203456,-0.56371766
23,0.39884949,0.39020604,-0.50321835
24,0.40630779,0.37373626,-0.45130512
25,0.40867057,0.36385727,-0.40489128
26,0.41173169,0.35305396,-0.37181029
27,0.39960036,0.35821924,-0.33997986
28,0.38979313,0.36026224,-0.30770794
29,0.37180161,0.35896626,-0.26562402
30,0.35626408,0.36833432,-0.24361011
31,0.32848009,0.37590864,-0.21100527
32,0.30594876,0.38580257,-0.18938860
33,0.39240578,0.43936345,-0.57526344
34,0.41945064,0.45645970,-0.51896256
35,0.43593153,0.46869141,-0.46806732
36,0.44400227,0.47691557,-0.42285633
37,0.44434279,0.47959617,-0.38731360
38,0.44360828,0.48849064,-0.34455317
39,0.42992112,0.47518820,-0.31471395
40,0.41176802,0.46593016,-0.28307858
41,0.38716990,0.45226061,-0.25140777
42,0.36662698,0.43896711,-0.22929463
43,0.33677483,0.41669464,-0.19942215
44,-0.20836873,0.60193706,0.79676497
45,-0.11881354,0.69867587,0.77584308
46,-0.02260985,0.75609094,0.72813332
47,0.08961215,0.77977145,0.66254210
48,0.18673098,0.76801234,0.59403384
49,0.27713728,0.72829878,0.50434816
50,0.33350959,0.69523317,0.40838400
51,-0.08186246,0.64155978,0.77663535
52,0.02189691,0.69612885,0.73631603
53,0.12005745,0.68855178,0.66938472
54,0.20516033,0.67270315,0.57524824
55,0.25934997,0.64108860,0.47769240
56,0.31459001,0.61865032,0.37334427
57,0.33839417,0.64173788,-0.76866412
58,0.39608580,0.72158647,-0.69557762
59,0.44512063,0.78804159,-0.58862549
