landmark_id,x,y,z
0,-1.14607942,0.33193794,-0.86700577
1,-1.09833920,0.19781308,-0.91284573
2,-1.06734800,0.06229919,-0.92139030
3,-1.03998578,-0.06459921,-0.89101720
4,-1.01034486,-0.18467313,-0.87819058
5,-0.98600668,-0.30089238,-0.84903115
6,-0.95272046,-0.44111648,-0.80638367
7,-0.92742610,-0.58989549,-0.76110506
8,-0.89971375,-0.72505867,-0.71465021
9,-0.85857958,-0.84891492,-0.62484217
10,-0.78726023,-0.95505613,-0.54488313
11,-0.66565251,-1.03888226,-0.38831499
12,-0.51197648,-1.11655807,-0.21967600
13,-0.37081853,-1.18322074,-0.03802068
14,-0.24869432,-1.23652482,0.10353433
15,-0.09646390,-1.27370417,0.13717023
16,-0.01423233,-1.26520801,0.16895308
17,0.06540257,-1.27192235,0.13301125
18,0.21656536,-1.22019112,0.11131814
19,0.33379725,-1.17756999,-0.07952441
20,0.47248369,-1.08969331,-0.23975746
21,0.61591363,-1.00316083,-0.41764995
22,0.72852480,-0.91578442,-0.56299913
23,0.81626743,-0.82767141,-0.66292924
24,0.87418884,-0.70061779,-0.74285167
25,0.90492761,-0.56601036,-0.78921217
26,0.92606324,-0.41956356,-0.83589047
27,0.95840031,-0.27542424,-0.86426276
28,0.98484033,-0.15531529,-0.90195960
29,1.02074838,-0.02459393,-0.87907505
30,1.03649044,0.10089194,-0.90156806
31,1.06031585,0.22614662,-0.91821033
32,1.09184444,0.36844528,-0.87549227
33,-0.82036948,0.56362879,0.11390539
34,-0.67127037,0.68076861,0.27401078
35,-0.47481385,0.71939898,0.38681754
36,-0.31390491,0.70611107,0.43675977
37,-0.19458686,0.64365131,0.45915407
38,-0.21540333,0.59818262,0.41680047
39,-0.35240149,0.59314972,0.40134084
40,-0.50977540,0.62106335,0.40203553
41,-0.69214791,0.62133610,0.30676407
42,0.20787165,0.65991360,0.47114342
43,0.33519050,0.71591020,0.44837317
44,0.50088304,0.73107010,0.39938107
45,0.69477534,0.70193624,0.28838542
46,0.84318334,0.58617109,0.11762123
47,0.69818652,0.63669723,0.32699129
48,0.51499212,0.62413543,0.41781420
49,0.37511361,0.60980654,0.41922250
50,0.23258835,0.60869527,0.44433272
51,0.01427855,0.45762190,0.49961159
52,0.00902996,0.33403763,0.61893564
53,0.00403749,0.17142537,0.77785218
54,0.00520968,0.07689746,0.87462687
55,-0.09549121,0.39569592,0.40284902
56,-0.15875708,0.09924919,0.60572571
57,-0.22157949,-0.02861067,0.47631246
58,-0.14103343,-0.15205385,0.57390738
59,-0.02333752,-0.12459637,0.65121239
60,0.02133096,-0.16376217,0.64202946
61,0.05466577,-0.13246338,0.64903975
62,0.15979148,-0.15659706,0.55623233
63,0.24082540,-0.04551474,0.47410733
64,0.16183096,0.08741631,0.59783608
65,0.11673052,0.38881800,0.40929008
66,-0.61232692,0.43673691,0.19117847
67,-0.50234562,0.52734482,0.26972422
68,-0.42344293,0.56174892,0.29849660
69,-0.33910134,0.51119798,0.25953373
70,-0.24881086,0.43452254,0.23264763
71,-0.31581205,0.40862516,0.29309121
72,-0.41934395,0.40520841,0.29668871
73,-0.51500273,0.40532637,0.27009353
74,-0.40856603,0.49701801,0.29787135
75,0.25079978,0.44220451,0.24655609
76,0.35853133,0.51307434,0.29628700
77,0.43512744,0.55624080,0.29938167
78,0.51868725,0.51802546,0.26738483
79,0.62336010,0.44819063,0.20199001
80,0.53216845,0.40901721,0.26224715
81,0.42976472,0.40445834,0.29737991
82,0.34457478,0.41205877,0.29162031
83,0.40239197,0.48441923,0.30304164
84,-0.37640843,-0.55047464,0.37718534
85,-0.21471821,-0.43088096,0.53603458
86,-0.06318187,-0.37128699,0.61334872
87,0.00764998,-0.39111817,0.61331725
88,0.08860719,-0.37242329,0.60117984
89,0.22318324,-0.43596324,0.50915241
90,0.37959662,-0.52775115,0.34855691
91,0.21369478,-0.57478297,0.45763862
92,0.10963424,-0.60375667,0.52858686
93,-0.00145913,-0.61756808,0.55218840
94,-0.11621995,-0.61575049,0.53408974
95,-0.22086045,-0.59076327,0.47217634
96,-0.33923647,-0.54989964,0.37285793
97,-0.09521624,-0.48241535,0.51056421
98,0.00796617,-0.46088988,0.53300709
99,0.11271245,-0.47113806,0.49388793
100,0.35037735,-0.52184647,0.34945258
101,0.10561008,-0.49070051,0.50659519
102,0.00500373,-0.49909085,0.53198940
103,-0.10477608,-0.50703943,0.51083940
104,-0.41904515,0.48300648,0.29908586
105,0.42678359,0.48123655,0.30233088
