landmark_id,x,y,z,visible,vertex_index,confidence
0,-0.6294260025024414,0.4039609730243683,0.18909603357315063,0,2476,0.0
1,-0.589724600315094,0.3665204346179962,0.22814662754535675,0,3124,0.0
2,-0.5552597641944885,0.35039690136909485,0.25122180581092834,0,3513,0.0
3,-0.5123225450515747,0.339400053024292,0.2713732421398163,1,3900,1.0
4,-0.4794509708881378,0.3360012173652649,0.2819250822067261,1,4158,1.0
5,-0.44674062728881836,0.33000826835632324,0.2903224527835846,1,4417,1.0
6,-0.3952510356903076,0.32526206970214844,0.2927949130535126,1,4805,1.0
7,-0.36265644431114197,0.3378971815109253,0.28919318318367004,1,5062,1.0
8,-0.3339959979057312,0.3432270288467407,0.2869216501712799,1,5320,1.0
9,-0.2923506200313568,0.3597104847431183,0.26375606656074524,0,5704,0.0
10,-0.2586030662059784,0.3760583996772766,0.24458076059818268,0,6216,0.0
11,-0.6638992428779602,0.4293243885040283,0.17743511497974396,0,1955,0.0
12,-0.616445779800415,0.4513041079044342,0.23566296696662903,0,2985,0.0
13,-0.5819235444068909,0.476936399936676,0.2815874516963959,1,3499,1.0
14,-0.5427390336990356,0.49100393056869507,0.30861547589302063,1,3886,1.0
15,-0.49816808104515076,0.5086321234703064,0.3277435600757599,1,4272,1.0
16,-0.4662243723869324,0.5110402703285217,0.33089718222618103,1,4530,1.0
17,-0.41973111033439636,0.4992251396179199,0.32082298398017883,1,4918,1.0
18,-0.3770673871040344,0.492587149143219,0.309692919254303,1,5306,1.0
19,-0.35105177760124207,0.47260940074920654,0.29481667280197144,0,5437,0.0
20,-0.319029301404953,0.4409632980823517,0.2794494032859802,1,5568,1.0
21,-0.285455584526062,0.41941362619400024,0.26689305901527405,1,5826,1.0
22,0.6624730825424194,0.3994561433792114,0.19224607944488525,1,14197,1.0
23,0.6170852780342102,0.35719192028045654,0.24242858588695526,0,13298,0.0
24,0.5700136423110962,0.33797487616539,0.26870614290237427,1,12784,1.0
25,0.5258709192276001,0.3281131684780121,0.2859184443950653,1,12397,1.0
26,0.4933820366859436,0.31944540143013,0.29652756452560425,1,12140,1.0
27,0.458893746137619,0.32614436745643616,0.29864588379859924,1,11881,1.0
28,0.423688679933548,0.33117571473121643,0.2998192310333252,1,11623,1.0
